92:40,S,36,39@0.84:32,91
91:40,S,36,39@0.84;39,T,35,39@0.84:35,90
47:'67',T,'68','67'@0.29;'67',T,'67','49'@0.57:67_cluster_STLI053.cluster001|488d43|0-357|9033|STLI053_3502_0417,49_cluster_WAC1438rc4d|fc4a58|0-267|6419|WAC1438rc4d_2527_0641
71_cluster_Kistamicin|1cd265|0-324|9777|Kistamicin_3726_0501:98,T,98,55@0.5;98,SL,'01','71'@1
01_cluster_A40926|3ca8c0|0-321|36|A40926_36_0499:98,D,98,98@1;98,SL,'71','01'@1
26_cluster_KaridNRRLB16535chlor|0047c0|0-321|3363|KaridNRRLB16535chlor_1349_0499:39,T,39,100@1;39,SL,'18','26'@1
38:39,T,'47',39@1;'47',T,'29','47'@1:29_cluster_pekiskomycin|a8080b|0-321|3764|pekiskomycin_1518_0499,47_cluster_WAC1420|ed788d|0-265|6152|WAC1420_2402_0499
35:39,T,35,39@0.84;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|76ce94|0-265|528|AbalhimycinaFH1894_227_0499,14_cluster_Balhimycin|76ce94|0-265|1789|Balhimycin_704_0499
32:40,S,36,39@0.84;36,S,35,32@0.92:07_cluster_AkerFH1893nogabecin|87ac92|0-321|814|AkerFH1893nogabecin_335_0499,31
31:36,S,35,32@0.92;32,S,'11',30@1:11_cluster_AregGY080|0f9ff1|0-321|1385|AregGY080_598_0499,30
30:32,S,'11',30@1;30,S,29,26@0.4:03_cluster_AalbaDSM44262|023260|0-318|237|AalbaDSM44262_92_0499,29
29:30,S,29,26@0.4;26,S,20,25@0.08:9,28
28:26,S,20,25@0.08;25,T,25,16@0.1:14,27
27:25,T,25,16@0.1;16,S,14,'55'@0.54:21,26
26:16,S,14,'55'@0.54;'55',T,'55',19@0.54:55_cluster_WAC05977|bca05b|0-265|7355|WAC05977_2899_0499,25
25:'55',T,'55',19@0.54;19,S,'08','52'@1:08_cluster_AlurRistocetin|3a81a8|0-265|996|AlurRistocetin_434_0499,52_cluster_WAC4182cluster089|214d12|0-265|6970|WAC4182cluster089_2747_0499
21:16,S,14,'55'@0.54;14,SL,'09',12@1;12,SL,11,6@1;6,S,'06',4@1:06_cluster_Ajap-Ristocetin|d95445|0-314|680|Ajap-Ristocetin_281_0499,20
20:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|5f64ff|0-321|7086|WAC4197cluster073_2783_0499,19
19:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|33f5ec|0-265|3212|JPLW01000007_1278_0499,27_cluster_KF882511-Ristocetin|33f5ec|0-265|3505|KF882511-Ristocetin_1411_0499
14:25,T,25,16@0.1;25,S,'45',23@1:45_cluster_WAC1376cluster143|192637|0-265|5850|WAC1376cluster143_2266_0499,13
13:25,S,'45',23@1;23,S,'44','46'@1:44_cluster_WAC1375|88275a|0-283|5634|WAC1375_2124_0499,46_cluster_WAC1416cluster068|2dd6c4|0-265|5968|WAC1416cluster068_2301_0499
9:26,S,20,25@0.08;20,S,19,16@0.02:04_cluster_AazureaDSM43854|ec47f9|0-321|377|AazureaDSM43854_154_0499,8
8:20,S,19,16@0.02;16,SL,'55',14@0.04;14,S,'09',12@0.52:09_cluster_AOHO0100074|8fbcb3|0-324|1097|AOHO0100074_458_0499,7
7:14,S,'09',12@0.52;12,SL,6,11@0.52;11,SL,'07',9@0.52;9,S,'40','51'@1:40_cluster_Vancomycin|29b7b0|0-286|5153|Vancomycin_1952_0499,51_cluster_WAC4169cluster051|60b255|0-324|6791|WAC4169cluster051_2644_0499
04_cluster_AazureaDSM43854|ec47f9|0-321|377|AazureaDSM43854_154_0499:20,S,19,16@0.02;19,TL,19,'04'@0.02
03_cluster_AalbaDSM44262|023260|0-318|237|AalbaDSM44262_92_0499:30,S,29,26@0.4;29,SL,'04','03'@0.96
07_cluster_AkerFH1893nogabecin|87ac92|0-321|814|AkerFH1893nogabecin_335_0499:36,S,35,32@0.92;35,TL,35,'07'@0.92
