100:55,TTD,-1,55@0.98:4,99
99:55,TTD,-1,55@0.98;55,S,'68',53@0.98:15,98
70:78,S,'55',76@1;76,S,'08','52'@1:08_cluster_AlurRistocetin|23183e|0-374|972|AlurRistocetin_410_0368,52_cluster_WAC4182cluster089|9eed5e|0-353|6944|WAC4182cluster089_2721_0368
66:78,T,90,78@0.22;90,S,'45',88@1:45_cluster_WAC1376cluster143|a31bb8|0-350|5826|WAC1376cluster143_2242_0368,65
65:90,S,'45',88@1;88,S,'44','46'@1:44_cluster_WAC1375|f68daf|0-350|5657|WAC1375_2147_0368,46_cluster_WAC1416cluster068|f68daf|0-350|5991|WAC1416cluster068_2324_0368
04_cluster_AazureaDSM43854|ed6ac8|0-352|404|AazureaDSM43854_181_0368:79,TTD,-1,79@0.055;-1,TLFD,-1,'04'@0.079
03_cluster_AalbaDSM44262|848775|0-352|257|AalbaDSM44262_112_0368:79,TTD,-1,79@0.033;-1,TLFD,-1,'03'@0.08
58:79,T,96,79@0.0011;96,T,96,'29'@0.083:54,57
57:96,T,96,'29'@0.083;'29',T,'29','47'@0.2:29_cluster_pekiskomycin|043bd4|0-356|3791|pekiskomycin_1545_0368,47_cluster_WAC1420|088aeb|0-360|6184|WAC1420_2434_0368
54:96,T,96,'29'@0.083;96,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|f6ad56|0-340|549|AbalhimycinaFH1894_248_0368,14_cluster_Balhimycin|c4fe07|0-356|1811|Balhimycin_726_0368
51:79,T,100,79@0.001;100,S,'18','26'@1:18_cluster_Chloroeremomycin-2|c0dad0|0-363|2442|Chloroeremomycin-1_980_0368,26_cluster_KaridNRRLB16535chlor|d6a2ec|0-357|3387|KaridNRRLB16535chlor_1373_0368
71_cluster_Kistamicin|5126e2|0-360|9775|Kistamicin_3724_0409:51,S,49,'48'@0.98;49,SL,'01','71'@0.98
45:51,T,21,51@0.045;21,T,21,27@0.045:41,44
44:21,T,21,27@0.045;27,S,'57','59'@1:57_cluster_WAC06725|2fa868|0-365|7667|WAC06725_2987_0371,59_cluster_WAC06783|2fa868|0-365|7913|WAC06783_3068_0371
41:21,T,21,27@0.045;21,TTD,21,-1@0.25:27,40
40:21,TTD,21,-1@0.25;-1,DD,-1,-1@0.2:02_cluster_A47934|b6a692|0-365|123|A47934_51_0371,39
39:-1,DD,-1,-1@0.2;-1,DD,-1,-1@0.11:33_cluster_SspCNQ509|3f5fab|0-368|4313|SspCNQ509_1680_0371,38
38:-1,DD,-1,-1@0.11;-1,DD,-1,-1@0.07:62_cluster_SspCNQ329.cluster001|5a1c70|0-368|8260|SspCNQ329_3201_0371,37
37:-1,DD,-1,-1@0.07;-1,TLFD,-1,35@0.34;35,S,'65',33@1:65_cluster_SspCNT371.cluster001|e51aca|0-368|8711|SspCNT371_3370_0371,36
36:35,S,'65',33@1;33,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|c27713|0-368|8560|SspCNQ865_3314_0371,35
35:33,S,'64','66'@1;'66',T,'63','66'@0.5:63_cluster_SspCNQ525.cluster001|c27713|0-368|8409|SspCNQ525_3258_0371,66_cluster_SspCNY243.cluster001|c27713|0-368|8860|SspCNY243_3424_0371
62_cluster_SspCNQ329.cluster001|5a1c70|0-368|8260|SspCNQ329_3201_0371:-1,DD,-1,-1@0.07;-1,TLFD,-1,'62'@0.34
33_cluster_SspCNQ509|3f5fab|0-368|4313|SspCNQ509_1680_0371:-1,DD,-1,-1@0.11;-1,TLFD,-1,'33'@0.33
02_cluster_A47934|b6a692|0-365|123|A47934_51_0371:-1,DD,-1,-1@0.2;-1,TLFD,-1,'02'@0.4
27:21,TTD,21,-1@0.25;21,T,'13',21@0.21:13_cluster_AspOK074cluster1|fbfee2|0-369|1668|AspOK074cluster1_673_0371,26
26:21,T,'13',21@0.21;21,S,20,17@1:22,25
25:21,S,20,17@1;17,S,'35','50'@1:35_cluster_SspNRRLS1521-1|11f8b9|0-367|4582|SspNRRLS1521-1_1746_0371,50_cluster_WAC01529|84f5c1|0-372|6611|WAC01529_2555_0371
22:21,S,20,17@1;20,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|4be37b|0-346|4034|SluteocolorNRBC13826_1598_0371,32_cluster_Ssilaceus-1|f9005e|0-366|4174|Ssilaceus-1_1640_0371
18:53,S,'28',51@0.98;'28',T,'01','28'@0.49:01_cluster_A40926|2648ed|0-343|39|A40926_39_0421,28_cluster_NcoxDSM45129|bb4deb|0-356|3650|NcoxDSM45129_1476_0421
15:55,S,'68',53@0.98;'68',T,'10','68'@0.49:10_cluster_ArectNRRLB16090|cb42cd|0-320|1260|ArectNRRLB16090_548_0433,14
14:'68',T,'10','68'@0.49;'68',T,'67','68'@0.18:8,13
13:'68',T,'67','68'@0.18;'68',T,'49','68'@0.49:49_cluster_WAC1438rc4d|5ff926|0-346|6405|WAC1438rc4d_2513_0442,12
12:'68',T,'49','68'@0.49;'68',T,'68','39'@0.49:68_cluster_HdaliensisNBRC106472.cluster001|0a2782|0-349|9197|HdaliensisNBRC106472_3529_0439,39_cluster_UK68597|de383b|0-353|5067|UK68597_1941_0429
8:'68',T,'67','68'@0.18;'67',T,'67','69'@0.18:67_cluster_STLI053.cluster001|4f6e91|0-337|9015|STLI053_3484_0463,69_cluster_MchersinaDSM44151|a1f4bf|0-339|9409|MchersinaDSM44151_3589_0458
4:55,TTD,-1,55@0.98;-1,TLFD,-1,4@1;4,S,'61',2@1:61_cluster_FNTE|88ef81|0-365|8132|FNTE_3146_0361,3
3:4,S,'61',2@1;2,S,'54','43'@1:54_cluster_WAC05379-4|5b65f6|0-379|7311|WAC05379-1_2861_0361,43_cluster_WAC01325|4c1876|0-359|5525|WAC01325_2088_0361
