100:21,T,21,27@0.14:8,99
99:21,T,21,27@0.14;27,T,'02',27@0.79:21,98
40:4,T,4,'10'@0.25;'10',T,'10','39'@0.062:10_cluster_ArectNRRLB16090|cb42cd|0-320|1260|ArectNRRLB16090_548_0433,39
39:'10',T,'10','39'@0.062;'39',T,'67','39'@0.062:33,38
38:'39',T,'67','39'@0.062;'39',T,'49','39'@0.25:49_cluster_WAC1438rc4d|5ff926|0-346|6405|WAC1438rc4d_2513_0442,37
37:'39',T,'49','39'@0.25;'39',T,'68','39'@0.5:68_cluster_HdaliensisNBRC106472.cluster001|0a2782|0-349|9197|HdaliensisNBRC106472_3529_0439,39_cluster_UK68597|de383b|0-353|5067|UK68597_1941_0429
33:'39',T,'67','39'@0.062;'67',T,'67','69'@0.5:67_cluster_STLI053.cluster001|4f6e91|0-337|9015|STLI053_3484_0463,69_cluster_MchersinaDSM44151|a1f4bf|0-339|9409|MchersinaDSM44151_3589_0458
29:4,T,4,'10'@0.25;4,S,'61',2@1:61_cluster_FNTE|88ef81|0-365|8132|FNTE_3146_0361,28
28:4,S,'61',2@1;2,S,'54','43'@1:54_cluster_WAC05379-4|5b65f6|0-379|7311|WAC05379-1_2861_0361,43_cluster_WAC01325|4c1876|0-359|5525|WAC01325_2088_0361
24:27,T,27,49@0.98;27,S,'57','59'@1:57_cluster_WAC06725|2fa868|0-365|7667|WAC06725_2987_0371,59_cluster_WAC06783|2fa868|0-365|7913|WAC06783_3068_0371
21:27,T,'02',27@0.79;'02',T,'02',35@0.2:02_cluster_A47934|b6a692|0-365|123|A47934_51_0371,20
20:'02',T,'02',35@0.2;35,T,'33',35@0.2:33_cluster_SspCNQ509|3f5fab|0-368|4313|SspCNQ509_1680_0371,19
19:35,T,'33',35@0.2;35,T,'62',35@0.4:62_cluster_SspCNQ329.cluster001|5a1c70|0-368|8260|SspCNQ329_3201_0371,18
18:35,T,'62',35@0.4;35,S,'65',33@1:65_cluster_SspCNT371.cluster001|e51aca|0-368|8711|SspCNT371_3370_0371,17
17:35,S,'65',33@1;33,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|c27713|0-368|8560|SspCNQ865_3314_0371,16
16:33,S,'64','66'@1;'66',T,'63','66'@1:63_cluster_SspCNQ525.cluster001|c27713|0-368|8409|SspCNQ525_3258_0371,66_cluster_SspCNY243.cluster001|c27713|0-368|8860|SspCNY243_3424_0371
8:21,T,21,27@0.14;21,T,'13',21@0.28:13_cluster_AspOK074cluster1|fbfee2|0-369|1668|AspOK074cluster1_673_0371,7
7:21,T,'13',21@0.28;21,S,20,17@1:3,6
6:21,S,20,17@1;17,S,'35','50'@1:35_cluster_SspNRRLS1521-1|11f8b9|0-367|4582|SspNRRLS1521-1_1746_0371,50_cluster_WAC01529|84f5c1|0-372|6611|WAC01529_2555_0371
3:21,S,20,17@1;20,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|4be37b|0-346|4034|SluteocolorNRBC13826_1598_0371,32_cluster_Ssilaceus-1|f9005e|0-366|4174|Ssilaceus-1_1640_0371
