92:21,S,20,17@1:2,91
91:21,S,20,17@1;17,T,17,9@1:7,90
42:'29',T,'48','29'@0.25;'29',T,'29','47'@0.5:29_cluster_pekiskomycin|985620|0-213|3794|pekiskomycin_1548_0114,47_cluster_WAC1420|dcec91|0-222|6187|WAC1420_2437_0114
38:96,T,96,'29'@0.062;96,T,100,96@0.5:34,37
37:96,T,100,96@0.5;96,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|de07a6|0-218|557|AbalhimycinaFH1894_256_0114,14_cluster_Balhimycin|6f312d|0-218|1819|Balhimycin_734_0114
34:96,T,100,96@0.5;100,S,'18','26'@1:18_cluster_Chloroeremomycin-2|dd4c14|0-268|2449|Chloroeremomycin-1_987_0114,26_cluster_KaridNRRLB16535chlor|dd4c14|0-268|3394|KaridNRRLB16535chlor_1380_0114
30:49,T,'10',49@0.25;'10',T,'10','39'@0.5:10_cluster_ArectNRRLB16090|82bb60|0-222|1265|ArectNRRLB16090_553_0129,39_cluster_UK68597|5c7186|0-221|5070|UK68597_1944_0129
26:49,T,58,49@0.062;58,T,'67',58@0.5:67_cluster_STLI053.cluster001|8e81f1|0-219|9018|STLI053_3487_0133,25
25:58,T,'67',58@0.5;58,S,'12','56'@1:12_cluster_ArifDSM43936-1|15f1ac|0-223|1519|ArifDSM43936-1_651_0128,56_cluster_WAC06369|15f1ac|0-223|7477|WAC06369_2944_0128
19:'49',T,'62','49'@1;'62',T,'33','62'@1:33_cluster_SspCNQ509|da6bf0|0-227|4317|SspCNQ509_1684_0124,18
18:'62',T,'33','62'@1;'62',T,'62',35@1:62_cluster_SspCNQ329.cluster001|3879a0|0-220|8264|SspCNQ329_3205_0124,17
17:'62',T,'62',35@1;35,S,'65',33@1:65_cluster_SspCNT371.cluster001|22c3e2|0-220|8715|SspCNT371_3374_0124,16
16:35,S,'65',33@1;33,T,'63',33@1:63_cluster_SspCNQ525.cluster001|c68117|0-220|8413|SspCNQ525_3262_0124,15
15:33,T,'63',33@1;33,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|ffbac9|0-220|8564|SspCNQ865_3318_0124,66_cluster_SspCNY243.cluster001|ddfa65|0-220|8864|SspCNY243_3428_0124
7:17,T,17,9@1;17,S,'35','50'@1:35_cluster_SspNRRLS1521-1|412446|0-230|4586|SspNRRLS1521-1_1750_0124,6
6:17,S,'35','50'@1;'50',T,'50','13'@1:50_cluster_WAC01529|2de16d|0-239|6615|WAC01529_2559_0124,13_cluster_AspOK074cluster1|06ff1c|0-234|1672|AspOK074cluster1_677_0124
2:21,S,20,17@1;20,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|1ce0fc|0-228|4038|SluteocolorNRBC13826_1602_0124,32_cluster_Ssilaceus-1|03da25|0-235|4179|Ssilaceus-1_1645_0124
