98:28,S,27,24@1:4,97
97:28,S,27,24@1;24,S,22,'47'@1:13,96
59:'01',T,67,'01'@0.5;67,S,'06',65@1:06_cluster_Ajap-Ristocetin|41a04d|1039-1047|726|06_cluster_Ajap-Ristocetin-288-Item26-PCP-Item27-X_Fill_0,58
58:67,S,'06',65@1;65,S,'53',63@1:53_cluster_WAC4197cluster073|45ffd8|1039-1047|7205|53_cluster_WAC4197cluster073-2790-Item25-PCP-Item26-X_Fill_0,57
57:65,S,'53',63@1;63,S,'25','27'@1:25_cluster_JPLW01000007|e66a00|1039-1047|3326|25_cluster_JPLW01000007-1284-Item26-PCP-Item27-X_Fill_0,27_cluster_KF882511-Ristocetin|e66a00|1039-1047|3630|27_cluster_KF882511-Ristocetin-1417-Item26-PCP-Item27-X_Fill_0
52:'01',T,78,'01'@0.5;78,S,'55',76@1:55_cluster_WAC05977|27f9dd|1039-1047|7456|55_cluster_WAC05977-2905-Item25-PCP-Item26-X_Fill_0,51
51:78,S,'55',76@1;76,S,'08','52'@1:08_cluster_AlurRistocetin|0f4616|1068-1076|1030|08_cluster_AlurRistocetin-428-Item8-PCP-Item7-X_Fill_0,52_cluster_WAC4182cluster089|e7dbb3|1039-1047|7025|52_cluster_WAC4182cluster089-2740-Item8-PCP-Item7-X_Fill_0
03_cluster_AalbaDSM44262|3f5634|1036-1044|317|03_cluster_AalbaDSM44262-97-Item26-PCP-Item27-X_Fill_0:'47',TTD,-1,'47'@1;-1,TLFD,-1,'03'@1
04_cluster_AazureaDSM43854|7a2c10|1040-1048|441|04_cluster_AazureaDSM43854-160-Item25-PCP-Item26-X_Fill_0:'47',TTD,-1,'47'@1;-1,TLFD,-1,'04'@1
44:'47',TTD,-1,'47'@0.75;-1,TFD,-1,106@0.25:38,43
43:-1,TFD,-1,106@0.25;106,S,'10',104@1:10_cluster_ArectNRRLB16090|35a3e5|1035-1043|1342|10_cluster_ArectNRRLB16090-521-Item22-PCP-Item23-X_Fill_0,42
42:106,S,'10',104@1;104,S,'39','60'@1:39_cluster_UK68597|13b231|1045-1053|5142|39_cluster_UK68597-1913-Item27-PCP-Item28-X_Fill_0,60_cluster_AsubtropicusNRRLB24665|46c496|1044-1052|8101|60_cluster_AsubtropicusNRRLB24665-3101-Item27-PCP-Item28-X_Fill_0
38:-1,TFD,-1,106@0.25;-1,TFD,'11',-1@0.14:11_cluster_AregGY080|643e69|1038-1046|1488|11_cluster_AregGY080-603-Item26-PCP-Item27-X_Fill_0,48_cluster_WAC1424cluster109|1e552c|1014-1022|6317|48_cluster_WAC1424cluster109-2482-Item6-PCP-Item5-X_Fill_0
48_cluster_WAC1424cluster109|1e552c|1014-1022|6317|48_cluster_WAC1424cluster109-2482-Item6-PCP-Item5-X_Fill_0:-1,TFD,'11',-1@0.14;-1,TLFD,-1,'48'@0.43
35:'47',TTD,-1,'47'@1;-1,TFD,-1,41@0.33:07_cluster_AkerFH1893nogabecin|007425|1040-1048|925|07_cluster_AkerFH1893nogabecin-341-Item26-PCP-Item27-X_Fill_0,34
34:-1,TFD,-1,41@0.33;41,S,40,37@1:20,33
33:41,S,40,37@1;37,T,37,4@0.5:27,32
32:37,T,37,4@0.5;4,S,'61',2@1:61_cluster_FNTE|ff42bb|1029-1038|8216|61_cluster_FNTE-3138-Item29-PCP-Item30-X_Fill_0,31
31:4,S,'61',2@1;2,S,'43','54'@1:43_cluster_WAC01325|b58f24|1029-1038|5591|43_cluster_WAC01325-2081-Item29-PCP-Item30-X_Fill_0,54_cluster_WAC05379-3|c68161|1029-1038|7296|54_cluster_WAC05379-1-2852-Item18-PCP-Item19-X_Fill_0
27:37,T,37,4@0.5;37,S,'63',35@1:63_cluster_SspCNQ525.cluster001|286c95|1029-1037|8524|63_cluster_SspCNQ525.cluster001-3273-Item40-PCP-Item41-X_Fill_0,26
26:37,S,'63',35@1;35,S,'65',33@1:65_cluster_SspCNT371.cluster001|25c062|1029-1037|8825|65_cluster_SspCNT371.cluster001-3385-Item40-PCP-Item41-X_Fill_0,25
25:35,S,'65',33@1;33,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|c6a231|1029-1037|8633|64_cluster_SspCNQ865.cluster001-3329-Item40-PCP-Item41-X_Fill_0,66_cluster_SspCNY243.cluster001|fe4486|1029-1037|8984|66_cluster_SspCNY243.cluster001-3439-Item40-PCP-Item41-X_Fill_0
20:41,S,40,37@1;40,T,'62',40@0.5:62_cluster_SspCNQ329.cluster001|7c2c30|1028-1037|8334|62_cluster_SspCNQ329.cluster001-3217-Item38-PCP-Item39-X_Fill_0,19
19:40,T,'62',40@0.5;40,S,'33','58'@1:33_cluster_SspCNQ509|511064|1027-1036|4438|33_cluster_SspCNQ509-1695-Item40-PCP-Item41-X_Fill_0,58_cluster_WAC06738cluster004|67b8a2|1027-1036|7812|58_cluster_WAC06738cluster004-3024-Item37-PCP-Item38-X_Fill_0
07_cluster_AkerFH1893nogabecin|007425|1040-1048|925|07_cluster_AkerFH1893nogabecin-341-Item26-PCP-Item27-X_Fill_0:-1,TFD,-1,41@0.33;-1,TLFD,-1,'07'@1
45_cluster_WAC1376cluster143|2f68bd|1013-1021|5879|45_cluster_WAC1376cluster143-2259-Item8-PCP-Item7-X_Fill_0:'47',TTD,-1,'47'@1;-1,TLFD,-1,'45'@1
13:24,S,22,'47'@1;22,S,14,21@1:13_cluster_AspOK074cluster1|2f3ccd|2584-2592|1757|13_cluster_AspOK074cluster1-691-Item37-PCP-Item38-X_Fill_0,12
12:22,S,14,21@1;21,S,17,20@1:8,11
11:21,S,17,20@1;20,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|26e45e|2578-2586|4154|31_cluster_SluteocolorNRBC13826-1611-Item42-PCP-Item43-X_Fill_0,32_cluster_Ssilaceus-3|0da9d1|2578-2586|4281|32_cluster_Ssilaceus-1-1656-Item11-PCP-Item12-X_Fill_0
8:21,S,17,20@1;17,S,'35','50'@1:35_cluster_SspNRRLS1521-3|4d8679|2586-2594|4656|35_cluster_SspNRRLS1521-1-1760-Item17-PCP-Item18-X_Fill_0,50_cluster_WAC01529|b2e10b|2604-2612|6722|50_cluster_WAC01529-2568-Item38-PCP-Item39-X_Fill_0
13_cluster_AspOK074cluster1|2f3ccd|2584-2592|1757|13_cluster_AspOK074cluster1-691-Item37-PCP-Item38-X_Fill_0:22,S,14,21@1;14,SL,12,'13'@1
4:28,S,27,24@1;27,T,'70',27@0.5:70_cluster_TLI55.cluster001|412004|8344-8357|9730|70_cluster_TLI55.cluster001-3659-Item34-PCP-Item35-X_Fill_0,3
3:27,T,'70',27@0.5;27,S,'57','59'@1:57_cluster_WAC06725|689653|1037-1048|7744|57_cluster_WAC06725-2979-Item32-PCP-Item33-X_Fill_0,59_cluster_WAC06783|725a6d|1037-1048|7992|59_cluster_WAC06783-3060-Item32-PCP-Item33-X_Fill_0
