92:6,T,58,6@0.25:2,91
91:6,T,58,6@0.25;6,T,6,43@0.5:23,90
30:35,S,'65',33@1;33,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|e6bb4c|0-236|8567|SspCNQ865_3321_0702,66_cluster_SspCNY243.cluster001|e6bb4c|0-236|8867|SspCNY243_3431_0702
23:6,T,6,43@0.5;6,S,'70',4@1:70_cluster_TLI55.cluster001|6ab3a1|0-217|9612|TLI55_3655_0513,22
22:6,S,'70',4@1;4,T,4,43@1:8,21
21:4,T,4,43@1;43,S,'62',41@1:62_cluster_SspCNQ329.cluster001|3480be|0-217|8284|SspCNQ329_3225_0513,20
20:43,S,'62',41@1;41,S,40,37@1:12,19
19:41,S,40,37@1;37,S,'63',35@1:63_cluster_SspCNQ525.cluster001|aec35d|0-217|8432|SspCNQ525_3281_0513,18
18:37,S,'63',35@1;35,S,'65',33@1:65_cluster_SspCNT371.cluster001|04b560|0-217|8734|SspCNT371_3393_0513,17
17:35,S,'65',33@1;33,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|b0347f|0-217|8583|SspCNQ865_3337_0513,66_cluster_SspCNY243.cluster001|b0347f|0-217|8883|SspCNY243_3447_0513
12:41,S,40,37@1;40,S,'33','58'@1:33_cluster_SspCNQ509|a23b3c|0-217|4336|SspCNQ509_1703_0513,58_cluster_WAC06738cluster004|1ac1ca|0-153|7792|WAC06738cluster004_3034_0513
8:4,T,4,43@1;4,S,'61',2@1:61_cluster_FNTE|3375b9|0-248|8139|FNTE_3153_0513,7
7:4,S,'61',2@1;2,S,'43','54'@1:43_cluster_WAC01325|7fcf9b|0-215|5532|WAC01325_2095_0513,54_cluster_WAC05379-4|69c6f7|0-317|7318|WAC05379-1_2868_0513
2:6,T,58,6@0.25;58,S,'12','56'@1:12_cluster_ArifDSM43936-4|f6923b|0-217|1632|ArifDSM43936-1_666_0513,56_cluster_WAC06369|f6923b|0-217|7491|WAC06369_2958_0513
