232:93,S,92,79@1:12,231
231:93,S,92,79@1;79,S,77,'42'@1:43,230
163:98,T,107,98@0.27;107,S,'56','12'@1:56_genome_WAC06369___192_11,12_genome_ArifDSM43936___0_644
160:'10',T,'10',98@0.27;'10',T,'10','01'@0.065:152,159
159:'10',T,'10','01'@0.065;'01',T,'01','29'@0.12:01_genome_A40926___3_5393,158
158:'01',T,'01','29'@0.12;'29',T,'48','29'@0.25:48_genome_WAC01424___9_173,157
157:'29',T,'48','29'@0.25;'29',T,'29','47'@0.5:29_genome_Pekiskomycin___53_10,47_genome_WAC01420___425_4
152:'10',T,'10','01'@0.065;'10',T,'69','10'@0.13:69_genome_MchersinaDSM44151___0_4779,151
151:'10',T,'69','10'@0.13;'10',T,16,'10'@0.033:145,150
150:'10',T,16,'10'@0.033;'10',T,'39','10'@1:39_genome_UK68597___11_14,149
149:'10',T,'39','10'@1;'10',T,'60','10'@1:60_genome_AsubtropicusNRRLB24665___15_98,10_genome_ArectNRRLB16090___92_12
145:'10',T,16,'10'@0.033;16,T,39,16@0.033:109,144
144:16,T,39,16@0.033;16,T,35,16@0.065:112,143
143:16,T,35,16@0.065;16,S,14,'09'@0.13:121,142
142:16,S,14,'09'@0.13;'09',T,9,'09'@0.48:138,141
141:'09',T,9,'09'@0.48;'09',T,'11','09'@0.57:11_genome_AregGY080___33_508,09_genome_AOHO0100074___47_326
138:'09',T,9,'09'@0.48;9,S,'51','40'@0.83:51_genome_WAC04169___0_750,137
137:9,S,'51','40'@0.83;'40',T,'03','40'@0.21:127,136
136:'40',T,'03','40'@0.21;'40',T,'40',2@0.23:40_genome_Vancomycin___0_338,135
135:'40',T,'40',2@0.23;2,T,'53',2@0.25:53_genome_WAC04197___0_482,134
134:2,T,'53',2@0.25;2,T,'06',2@0.5:06_genome_Ajap-Ristocetin___0_337,133
133:2,T,'06',2@0.5;2,S,'27','25'@1:27_genome_KF882511-Ristocetin___0_866,25_genome_JPLW01000007___0_866
127:'40',T,'03','40'@0.21;'03',T,'04','03'@0.21:04_genome_AazureaDSM43854___0_199,126
126:'03',T,'04','03'@0.21;'03',T,'07','03'@0.5:07_genome_AkerFH1893nogabecin___33_113,03_genome_AalbaDSM44262___0_3829
121:16,S,14,'09'@0.13;14,S,12,'55'@0.043:115,120
120:14,S,12,'55'@0.043;'55',T,'55',27@0.57:55_genome_WAC05977___5_81,119
119:'55',T,'55',27@0.57;27,S,'46','44'@1:46_genome_WAC01416___0_1005,44_genome_WAC01375___9_210
115:14,S,12,'55'@0.043;12,TL,12,19@0.043;19,S,'52','08'@1:52_genome_WAC04182___3_226,08_genome_AlurRistocetin___0_6361
112:16,T,35,16@0.065;35,S,'14','05'@1:14_genome_Balhimycin___29_88,05_genome_AbalhimycinaFH1894___0_5013
109:16,T,39,16@0.033;39,S,'18','26'@1:18_genome_Chloroeremomycin___51_36,26_genome_KaridNRRLB16535chlor___17_220
105:'10',T,'29','10'@1;'29',T,'29',51@1:29_genome_Pekiskomycin___128_12,104
104:'29',T,'29',51@1;51,S,'43','54'@1:43_genome_WAC01325___91_19,103
103:51,S,'43','54'@1;'54',T,'61','54'@1:61_genome_FNTE___1_1147,54_genome_WAC05379___58_14
97:45,S,43,'10'@1;43,T,43,77@1:59,96
96:43,T,43,77@1;77,S,73,76@1:84,95
95:77,S,73,76@1;76,T,'42',76@1:42_cluster_WAC00631|eeb41c|0-320|5413|WAC00631_2059_0504,94
94:76,T,'42',76@1;76,T,76,51@1:88,93
93:76,T,76,51@1;51,S,'54','43'@1:54_cluster_WAC05379-4|d15db4|0-378|7313|WAC05379-1_2863_0357,92
92:51,S,'54','43'@1;'43',T,'43','61'@1:43_cluster_WAC01325|45eb80|0-378|5527|WAC01325_2090_0357,61_cluster_FNTE|5288d6|0-378|8134|FNTE_3148_0357
88:76,T,76,51@1;76,S,'57','59'@1:57_cluster_WAC06725|f9c2bc|0-373|7669|WAC06725_2989_0369,59_cluster_WAC06783|8941a8|0-373|7915|WAC06783_3070_0369
84:77,S,73,76@1;73,T,92,73@1:72,83
83:73,T,92,73@1;73,S,'47',71@1:02_cluster_A47934|5667b5|0-384|124|A47934_52_0318,82
82:73,S,'47',71@1;71,S,63,70@1:13_cluster_AspOK074cluster1|67f515|0-383|1669|AspOK074cluster1_674_0318,81
81:71,S,63,70@1;70,S,69,66@1:77,80
80:70,S,69,66@1;66,S,'50','35'@1:50_cluster_WAC01529|f1c102|0-380|6612|WAC01529_2556_0318,35_cluster_SspNRRLS1521-1|d6048c|0-389|4583|SspNRRLS1521-1_1747_0318
77:70,S,69,66@1;69,S,'32','31'@1:32_cluster_Ssilaceus-1|2d1b15|0-397|4176|Ssilaceus-1_1642_0318,31_genome_SluteocolorNRBC13826___8_73
13_cluster_AspOK074cluster1|67f515|0-383|1669|AspOK074cluster1_674_0318:71,S,63,70@1;63,SL,61,'13'@1
02_cluster_A47934|5667b5|0-384|124|A47934_52_0318:73,S,'47',71@1;'47',TL,'47','02'@1
72:73,T,92,73@1;92,S,90,'62'@0.5:66,71
71:92,S,90,'62'@0.5;'62',T,'62',89@0.5:62_cluster_SspCNQ329.cluster001|a9987b|0-374|8261|SspCNQ329_3202_0366,70
70:'62',T,'62',89@0.5;89,S,'33','58'@1:33_cluster_SspCNQ509|db7311|0-366|4314|SspCNQ509_1681_0366,58_cluster_WAC06738cluster004|5942d0|0-366|7769|WAC06738cluster004_3011_0366
66:92,S,90,'62'@0.5;90,SL,89,86@0.5;86,SL,'63',84@1;84,S,'65',82@1:65_cluster_SspCNT371.cluster001|9eb4d7|0-373|8712|SspCNT371_3371_0366,65
65:84,S,'65',82@1;82,S,'66','64'@1:66_cluster_SspCNY243.cluster001|352686|0-366|8861|SspCNY243_3425_0366,64
64:82,S,'66','64'@1;'64',T,'64','63'@1:64_cluster_SspCNQ865.cluster001|603347|0-373|8561|SspCNQ865_3315_0366,63_cluster_SspCNQ525.cluster001|1d3414|0-373|8410|SspCNQ525_3259_0366
59:43,T,43,77@1;43,S,'39','60'@1:39_cluster_UK68597|165664|0-469|5068|UK68597_1942_0171,58
58:43,S,'39','60'@1;'60',T,'60','10'@1:60_genome_AsubtropicusNRRLB24665___13_71,10_cluster_ArectNRRLB16090|8c6792|0-391|1258|ArectNRRLB16090_546_0337
50_genome_WAC01529___0_6194:'42',T,'42',45@1;'42',TL,'42','50'@1
53:'42',T,'67','42'@1;'67',T,'67','29'@0.5:49,52
52:'67',T,'67','29'@0.5;'29',T,'29','47'@0.5:29_cluster_pekiskomycin|6976bc|0-360|3774|pekiskomycin_1528_0391,47_cluster_WAC1420|7c291a|0-365|6166|WAC1420_2416_0391
49:'67',T,'67','29'@0.5;'67',D,'67','67'@1:67_cluster_STLI053.cluster001|cab147|0-365|9032|STLI053_3501_0390,67_genome_STLI053___0_5848
46:'42',T,'67','42'@1;'67',D,'67','67'@1:67_cluster_STLI053.cluster001|e534f2|0-361|8991|STLI053_3460_0406,67_genome_STLI053___0_5807
43:79,S,77,'42'@1;77,S,73,76@1:37,42
42:77,S,73,76@1;76,T,'42',76@1:42_genome_WAC00631___137_9,41
41:76,T,'42',76@1;76,S,'59','57'@1:59_genome_WAC06783___1_373,57_genome_WAC06725___42_9
37:77,S,73,76@1;73,S,'47',71@1:47_genome_WAC01420___199_7,36
36:73,S,'47',71@1;71,S,70,63@1:20,35
35:71,S,70,63@1;63,S,'13',61@1:13_genome_AspOK074cluster1___20_7,34
34:63,S,'13',61@1;61,S,55,60@0.33:26,33
33:61,S,55,60@0.33;60,T,55,60@0.33:70_genome_TLI55___9_1767,32
32:60,T,55,60@0.33;60,S,'29',58@0.33:29_genome_Pekiskomycin___286_1,31
31:60,S,'29',58@0.33;58,S,'02','49'@1:02_genome_A47934___47_6,49_genome_WAC01438___0_5752
70_genome_TLI55___9_1767:60,T,55,60@0.33;55,SL,53,'70'@0.33
26:61,S,55,60@0.33;55,SL,'70',53@0.33;53,S,'61',51@1:61_genome_FNTE___1_5644,25
25:53,S,'61',51@1;51,S,'54','43'@1:54_genome_WAC05379___281_9,43_genome_WAC01325___104_7
20:71,S,70,63@1;70,S,69,66@1:16,19
19:70,S,69,66@1;66,S,'50','35'@1:50_genome_WAC01529___0_1460,35_genome_SspNRRLS1521___263_8
16:70,S,69,66@1;69,S,'31','32'@1:31_genome_SluteocolorNRBC13826___100_23,32_genome_Ssilaceus___518_4
12:93,S,92,79@1;92,S,'62',90@1:62_genome_SspCNQ329___27_20,11
11:92,S,'62',90@1;90,S,86,89@1:7,10
10:90,S,86,89@1;89,S,'33','58'@1:33_genome_SspCNQ509___0_924,58_genome_WAC06738___0_1005
7:90,S,86,89@1;86,S,84,'63'@0.5:65_genome_SspCNT371___41_9,6
6:86,S,84,'63'@0.5;'63',T,'63',82@0.5:63_genome_SspCNQ525___11_23,5
5:'63',T,'63',82@0.5;82,S,'66','64'@1:66_genome_SspCNY243___15_23,64_genome_SspCNQ865___10_23
65_genome_SspCNT371___41_9:86,S,84,'63'@0.5;84,SL,82,'65'@0.5
