94:47,TTD,47,-1@1:8,93
93:47,TTD,47,-1@1;-1,TLFD,-1,73@1;73,S,'47',71@1:13,92
92:73,S,'47',71@1;71,TTD,71,-1@0.75:26,91
26:71,TTD,71,-1@0.75;71,TTD,71,-1@1:22,25
25:71,TTD,71,-1@1;-1,DD,-1,-1@0.14:70_cluster_TLI55.cluster001|544369|0-432|9630|TLI55_3673_0081,02_cluster_A47934|2ef91f|0-438|128|A47934_56_0081
02_cluster_A47934|2ef91f|0-438|128|A47934_56_0081:-1,DD,-1,-1@0.14;-1,TLFD,-1,'02'@0.43
70_cluster_TLI55.cluster001|544369|0-432|9630|TLI55_3673_0081:-1,DD,-1,-1@0.14;-1,TLFD,-1,'70'@0.43
22:71,TTD,71,-1@1;71,S,63,70@1:13_cluster_AspOK074cluster1|281870|0-449|1673|AspOK074cluster1_678_0081,21
21:71,S,63,70@1;70,S,66,69@1:17,20
20:70,S,66,69@1;69,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|cf14b9|0-472|4039|SluteocolorNRBC13826_1603_0081,32_cluster_Ssilaceus-1|60a8e0|0-472|4180|Ssilaceus-1_1646_0081
17:70,S,66,69@1;66,S,'35','50'@1:35_cluster_SspNRRLS1521-1|067fa8|0-460|4587|SspNRRLS1521-1_1751_0081,50_cluster_WAC01529|68cca1|0-461|6616|WAC01529_2560_0081
13_cluster_AspOK074cluster1|281870|0-449|1673|AspOK074cluster1_678_0081:71,S,63,70@1;63,SL,61,'13'@1
13:73,S,'47',71@1;'47',TTD,-1,'47'@0.5:68_cluster_HdaliensisNBRC106472.cluster001|6a8088|0-361|9218|HdaliensisNBRC106472_3550_0090,12
12:'47',TTD,-1,'47'@0.5;'47',TTD,'47',-1@0.5:47_cluster_WAC1420|c9a06b|0-432|6188|WAC1420_2438_0081,29_cluster_pekiskomycin|840acf|0-432|3795|pekiskomycin_1549_0081
29_cluster_pekiskomycin|840acf|0-432|3795|pekiskomycin_1549_0081:'47',TTD,'47',-1@0.5;-1,TLFD,-1,'29'@0.5
68_cluster_HdaliensisNBRC106472.cluster001|6a8088|0-361|9218|HdaliensisNBRC106472_3550_0090:'47',TTD,-1,'47'@0.5;-1,TLFD,-1,'68'@0.5
8:47,TTD,47,-1@1;47,S,45,'69'@1:4,7
7:47,S,45,'69'@1;'69',TTD,-1,'69'@0.5:67_cluster_STLI053.cluster001|a1442d|0-432|9019|STLI053_3488_0088,69_cluster_MchersinaDSM44151|6a528f|0-442|9406|MchersinaDSM44151_3586_0088
67_cluster_STLI053.cluster001|a1442d|0-432|9019|STLI053_3488_0088:'69',TTD,-1,'69'@0.5;-1,TLFD,-1,'67'@0.5
4:47,S,45,'69'@1;45,TTD,-1,45@1:49_cluster_WAC1438rc4d|affa54|0-417|6402|WAC1438rc4d_2510_0092,3
3:45,TTD,-1,45@1;45,S,'10',43@1:10_cluster_ArectNRRLB16090|6a3a2a|0-433|1266|ArectNRRLB16090_554_0090,39_cluster_UK68597|6a06c1|0-433|5071|UK68597_1945_0081
39_cluster_UK68597|6a06c1|0-433|5071|UK68597_1945_0081:45,S,'10',43@1;43,SL,'60','39'@1
49_cluster_WAC1438rc4d|affa54|0-417|6402|WAC1438rc4d_2510_0092:45,TTD,-1,45@1;-1,TLFD,-1,'49'@1
