1008:112,D,112,112@1:186,1007
1007:112,D,112,112@1;112,D,112,112@1:249,1006
910:'69',D,'69','69'@1;'69',T,'67','69'@1:67_cluster_STLI053.cluster001|4e2fef|6937-7029|9112|67_cluster_STLI053.cluster001-3497-Item31-A_phe-Item32-PCP_Fill_0,69_cluster_MchersinaDSM44151|60540f|6830-6913|9500|69_cluster_MchersinaDSM44151-3596-Item27-A_phe-Item28-PCP_Fill_0
907:'69',D,'69','69'@1;'69',D,'69','69'@1:903,906
906:'69',D,'69','69'@1;'69',D,'69','69'@1:69_cluster_MchersinaDSM44151|60540f|927-1008|9466|69_cluster_MchersinaDSM44151-3596-Item10-A_hpg-Item11-PCP_Fill_0,69_cluster_MchersinaDSM44151|60540f|5203-5284|9490|69_cluster_MchersinaDSM44151-3596-Item22-A_hpg-Item23-PCP_Fill_0
903:'69',D,'69','69'@1;'69',D,'69','69'@1:899,902
902:'69',D,'69','69'@1;'69',D,'69','69'@1:69_cluster_MchersinaDSM44151|89c115|1966-2048|9513|69_cluster_MchersinaDSM44151-3597-Item33-A_hpg-Item34-PCP_Fill_0,69_cluster_MchersinaDSM44151|89c115|8346-8432|9549|69_cluster_MchersinaDSM44151-3597-Item51-A_hpg-Item52-PCP_Fill_0
899:'69',D,'69','69'@1;'69',D,'69','69'@1:69_cluster_MchersinaDSM44151|60540f|4147-4228|9484|69_cluster_MchersinaDSM44151-3596-Item19-A_hpg-Item20-PCP_Fill_0,898
898:'69',D,'69','69'@1;'69',T,'69','67'@1:69_cluster_MchersinaDSM44151|89c115|4082-4162|9525|69_cluster_MchersinaDSM44151-3597-Item39-A_nrp-Item40-PCP_Fill_0,67_cluster_STLI053.cluster001|3a97f0|886-966|9065|67_cluster_STLI053.cluster001-3496-Item8-A_asp-Item9-PCP_Fill_0
892:'69',T,'49','69'@0.67;'49',D,'49','49'@0.58:49_cluster_WAC1438rc4d|da5867|7330-7438|6512|49_cluster_WAC1438rc4d-2520-Item23-A_hpg-Item24-PCP_Fill_0,891
891:'49',D,'49','49'@0.58;'49',T,'68','49'@0.29:853,890
890:'49',T,'68','49'@0.29;'49',T,'68','49'@0.29:856,889
889:'49',T,'68','49'@0.29;'49',D,'49','49'@1:865,888
888:'49',D,'49','49'@1;'49',D,'49','49'@1:882,887
887:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|d6be1d|4096-4181|6463|49_cluster_WAC1438rc4d-2521-Item47-A_asp-Item48-PCP_Fill_0,886
886:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|f4aa9d|912-995|6546|49_cluster_WAC1438rc4d-2522-Item53-A_asn-Item54-PCP_Fill_0,49_cluster_WAC1438rc4d|da5867|1954-2039|6482|49_cluster_WAC1438rc4d-2520-Item8-A_ser-Item9-PCP_Fill_0
882:'49',D,'49','49'@1;'49',D,'49','49'@1:876,881
881:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|d6be1d|1972-2055|6451|49_cluster_WAC1438rc4d-2521-Item41-A_nrp-Item42-PCP_Fill_0,880
880:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|da5867|4093-4171|6494|49_cluster_WAC1438rc4d-2520-Item14-A_asp-Item15-PCP_Fill_0,49_cluster_WAC1438rc4d|da5867|9466-9544|6524|49_cluster_WAC1438rc4d-2520-Item29-A_asp-Item30-PCP_Fill_0
876:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|f4aa9d|3056-3139|6558|49_cluster_WAC1438rc4d-2522-Item59-A_hpg-Item60-PCP_Fill_0,875
875:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|da5867|3025-3105|6488|49_cluster_WAC1438rc4d-2520-Item11-A_nrp-Item12-PCP_Fill_0,874
874:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|d6be1d|893-973|6445|49_cluster_WAC1438rc4d-2521-Item38-A_hpg-Item39-PCP_Fill_0,873
873:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|da5867|10532-10612|6530|49_cluster_WAC1438rc4d-2520-Item32-A_hpg-Item33-PCP_Fill_0,872
872:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|d6be1d|3046-3126|6457|49_cluster_WAC1438rc4d-2521-Item44-A_nrp-Item45-PCP_Fill_0,49_cluster_WAC1438rc4d|da5867|8413-8493|6518|49_cluster_WAC1438rc4d-2520-Item26-A_hpg-Item27-PCP_Fill_0
865:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|f4aa9d|4110-4193|6564|49_cluster_WAC1438rc4d-2522-Item62-A_nrp-Item63-PCP_Fill_0,864
864:'49',D,'49','49'@1;'49',D,'49','49'@1:860,863
863:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|f4aa9d|6248-6333|6576|49_cluster_WAC1438rc4d-2522-Item68-A_nrp-Item69-PCP_Fill_0,49_cluster_WAC1438rc4d|f4aa9d|5183-5267|6570|49_cluster_WAC1438rc4d-2522-Item65-A_phe-Item66-PCP_Fill_0
860:'49',D,'49','49'@1;'49',D,'49','49'@1:49_cluster_WAC1438rc4d|da5867|5172-5273|6500|49_cluster_WAC1438rc4d-2520-Item17-A_nrp-Item18-PCP_Fill_0,49_cluster_WAC1438rc4d|f4aa9d|1999-2082|6552|49_cluster_WAC1438rc4d-2522-Item56-A_ser-Item57-PCP_Fill_0
856:'49',T,'68','49'@0.29;'68',T,'68','69'@0.58:68_cluster_HdaliensisNBRC106472.cluster001|77aaf4|1900-1984|9254|68_cluster_HdaliensisNBRC106472.cluster001-3532-Item5-A_asp-Item6-PCP_Fill_0,69_cluster_MchersinaDSM44151|4931ca|1955-2040|9459|69_cluster_MchersinaDSM44151-3595-Item7-A_asn-Item8-PCP_Fill_0
853:'49',T,'68','49'@0.29;'68',D,'68','68'@0.71:68_cluster_HdaliensisNBRC106472.cluster001|77aaf4|860-934|9248|68_cluster_HdaliensisNBRC106472.cluster001-3532-Item2-A_no_call-Item3-PCP_Fill_0,852
852:'68',D,'68','68'@0.71;'68',T,'49','68'@0.71:49_cluster_WAC1438rc4d|da5867|11600-11685|6536|49_cluster_WAC1438rc4d-2520-Item35-A_ser-Item36-PCP_Fill_0,68_cluster_HdaliensisNBRC106472.cluster001|55deb0|8075-8150|9312|68_cluster_HdaliensisNBRC106472.cluster001-3547-Item32-A_no_call-Item33-PCP_Fill_0
847:108,T,46,108@0.49;46,S,'67',44@0.54:767,846
846:46,S,'67',44@0.54;44,S,30,43@0.55:772,845
845:44,S,30,43@0.55;43,T,43,106@0.35:785,844
844:43,T,43,106@0.35;106,S,104,'10'@0.65:798,843
843:106,S,104,'10'@0.65;'10',T,'10',91@0.28:07_cluster_AkerFH1893nogabecin|5b689a|3873-3957|914|07_cluster_AkerFH1893nogabecin-340-Item21-A_bht-Item22-PCP_Fill_0,842
842:'10',T,'10',91@0.28;91,S,90,85@0.62:818,841
841:91,S,90,85@0.62;85,SL,81,84@0.44;84,S,'03','04'@0.82:03_cluster_AalbaDSM44262|311e81|3859-3944|306|03_cluster_AalbaDSM44262-96-Item21-A_bht-Item22-PCP_Fill_0,840
840:84,S,'03','04'@0.82;'04',T,70,'04'@0.2:828,839
839:'04',T,70,'04'@0.2;'04',T,'04',96@0.41:833,838
838:'04',T,'04',96@0.41;96,T,'11',96@0.5:11_cluster_AregGY080|ac6242|3874-3959|1514|11_cluster_AregGY080-602-Item21-A_bht-Item22-PCP_Fill_0,837
837:96,T,'11',96@0.5;96,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|903de1|3888-3973|644|05_cluster_AbalhimycinaFH1894-231-Item20-A_bht-Item21-PCP_Fill_0,14_cluster_Balhimycin|69cf6a|3888-3973|1857|14_cluster_Balhimycin-709-Item20-A_bht-Item21-PCP_Fill_0
833:'04',T,'04',96@0.41;'04',T,'04',100@0.88:04_cluster_AazureaDSM43854|40c465|3914-3996|508|04_cluster_AazureaDSM43854-159-Item20-A_bht-Item21-PCP_Fill_0,832
832:'04',T,'04',100@0.88;100,S,'18','26'@1:18_cluster_Chloroeremomycin-1|2871d2|3888-3973|2414|18_cluster_Chloroeremomycin-1-961-Item20-A_bht-Item21-PCP_Fill_0,26_cluster_KaridNRRLB16535chlor|2871d2|3888-3973|3474|26_cluster_KaridNRRLB16535chlor-1355-Item20-A_bht-Item21-PCP_Fill_0
828:'04',T,70,'04'@0.2;70,T,'29',70@0.1:822,827
827:70,T,'29',70@0.1;70,T,'09',70@0.41:09_cluster_AOHO0100074|ca1b25|3867-3952|1199|09_cluster_AOHO0100074-462-Item20-A_bht|tyr-Item21-PCP_Fill_0,826
826:70,T,'09',70@0.41;70,S,'40','51'@1:40_cluster_Vancomycin|aa4140|3861-3946|5233|40_cluster_Vancomycin-1956-Item20-A_bht|tyr-Item21-PCP_Fill_0,51_cluster_WAC4169cluster051|66fb6a|3862-3947|6881|51_cluster_WAC4169cluster051-2638-Item13-A_bht-Item12-PCP_Fill_0
822:70,T,'29',70@0.1;'29',T,'47','29'@0.5:47_cluster_WAC1420|713508|3917-4002|6227|47_cluster_WAC1420-2418-Item20-A_bht-Item21-PCP_Fill_0,29_cluster_pekiskomycin|61ac15|3910-3995|3842|29_cluster_pekiskomycin-1529-Item20-A_bht-Item21-PCP_Fill_0
818:91,S,90,85@0.62;90,T,90,79@0.41:804,817
817:90,T,90,79@0.41;79,S,78,73@0.79:809,816
816:79,S,78,73@0.79;73,SL,72,67@0.79;67,SL,'06',65@0.39;65,S,'53',63@0.6:53_cluster_WAC4197cluster073|a35ef6|3810-3892|7194|53_cluster_WAC4197cluster073-2789-Item20-A_bht-Item21-PCP_Fill_0,815
815:65,S,'53',63@0.6;63,T,'06',63@0.6:06_cluster_Ajap-Ristocetin|b7eff3|3810-3892|792|06_cluster_Ajap-Ristocetin-286-Item21-A_bht-Item22-PCP_Fill_0,814
814:63,T,'06',63@0.6;63,S,'25','27'@1:25_cluster_JPLW01000007|f68926|3810-3892|3315|25_cluster_JPLW01000007-1283-Item21-A_bht-Item22-PCP_Fill_0,27_cluster_KF882511-Ristocetin|f68926|3810-3892|3619|27_cluster_KF882511-Ristocetin-1416-Item21-A_bht-Item22-PCP_Fill_0
809:79,S,78,73@0.79;78,SL,'55',76@0.39;76,S,'52','08'@0.6:52_cluster_WAC4182cluster089|6721ad|3809-3891|7009|52_cluster_WAC4182cluster089-2741-Item13-A_bht-Item12-PCP_Fill_0,808
808:76,S,'52','08'@0.6;'08',T,'55','08'@0.6:55_cluster_WAC05977|7779c3|3804-3886|7445|55_cluster_WAC05977-2904-Item20-A_bht-Item21-PCP_Fill_0,08_cluster_AlurRistocetin|b5adf0|3810-3892|1062|08_cluster_AlurRistocetin-429-Item13-A_bht|tyr-Item12-PCP_Fill_0
804:90,T,90,79@0.41;90,S,'45',88@1:45_cluster_WAC1376cluster143|89a266|3830-3915|5914|45_cluster_WAC1376cluster143-2261-Item12-A_bht-Item11-PCP_Fill_0,803
803:90,S,'45',88@1;88,S,'44','46'@1:44_cluster_WAC1375|5eeb3d|3838-3923|5694|44_cluster_WAC1375-2129-Item20-A_bht|tyr-Item21-PCP_Fill_0,46_cluster_WAC1416cluster068|d6e140|3835-3920|6105|46_cluster_WAC1416cluster068-2306-Item20-A_bht-Item21-PCP_Fill_0
07_cluster_AkerFH1893nogabecin|5b689a|3873-3957|914|07_cluster_AkerFH1893nogabecin-340-Item21-A_bht-Item22-PCP_Fill_0:'10',T,'10',91@0.28;'10',TL,'10','07'@0.65
798:106,S,104,'10'@0.65;104,S,'60','39'@1:60_cluster_AsubtropicusNRRLB24665|294514|3878-3960|8090|60_cluster_AsubtropicusNRRLB24665-3100-Item22-A_bht-Item23-PCP_Fill_0,797
797:104,S,'60','39'@1;'39',T,51,'39'@1:793,796
796:'39',T,51,'39'@1;'39',T,'10','39'@1:10_cluster_ArectNRRLB16090|9ee539|3899-3983|1331|10_cluster_ArectNRRLB16090-520-Item17-A_bht-Item18-PCP_Fill_0,39_cluster_UK68597|e5e4cd|3887-3972|5131|39_cluster_UK68597-1912-Item22-A_bht|tyr-Item23-PCP_Fill_0
793:'39',T,51,'39'@1;51,S,49,'48'@1:01_cluster_A40926|2105e4|3887-3979|78|01_cluster_A40926-23-Item24-A_bht|tyr-Item25-PCP_Fill_0,792
792:51,S,49,'48'@1;'48',T,'48','02'@0.5:48_cluster_WAC1424cluster109|2a4bff|3899-3983|6347|48_cluster_WAC1424cluster109-2483-Item10-A_tyr-Item9-PCP_Fill_0,791
791:'48',T,'48','02'@0.5;'02',T,'02','28'@0.5:02_cluster_A47934|3c365b|3878-3962|182|02_cluster_A47934-65-Item25-A_bht-Item26-PCP_Fill_0,28_cluster_NcoxDSM45129|26d899|3888-3977|3748|28_cluster_NcoxDSM45129-1495-Item24-A_tyr-Item25-PCP_Fill_0
01_cluster_A40926|2105e4|3887-3979|78|01_cluster_A40926-23-Item24-A_bht|tyr-Item25-PCP_Fill_0:51,S,49,'48'@1;49,SL,'71','01'@1
785:43,T,43,106@0.35;43,S,'62',41@1:62_cluster_SspCNQ329.cluster001|f73c1e|3946-4029|8319|62_cluster_SspCNQ329.cluster001-3216-Item31-A_tyr-Item32-PCP_Fill_0,784
784:43,S,'62',41@1;41,S,37,40@1:780,783
783:41,S,37,40@1;40,S,'33','58'@1:33_cluster_SspCNQ509|436ed9|3948-4031|4423|33_cluster_SspCNQ509-1694-Item33-A_tyr-Item34-PCP_Fill_0,58_cluster_WAC06738cluster004|d9a549|3939-4022|7884|58_cluster_WAC06738cluster004-3023-Item30-A_tyr-Item31-PCP_Fill_0
780:41,S,37,40@1;37,SL,'63',35@1;35,S,'65',33@1:65_cluster_SspCNT371.cluster001|f326c5|3942-4025|8811|65_cluster_SspCNT371.cluster001-3384-Item33-A_tyr-Item34-PCP_Fill_0,779
779:35,S,'65',33@1;33,S,'66','64'@1:66_cluster_SspCNY243.cluster001|731b10|3953-4036|8970|66_cluster_SspCNY243.cluster001-3438-Item33-A_tyr-Item34-PCP_Fill_0,778
778:33,S,'66','64'@1;'64',T,'63','64'@1:63_cluster_SspCNQ525.cluster001|4ed3e5|3948-4031|8510|63_cluster_SspCNQ525.cluster001-3272-Item33-A_tyr-Item34-PCP_Fill_0,64_cluster_SspCNQ865.cluster001|180773|3944-4027|8619|64_cluster_SspCNQ865.cluster001-3328-Item33-A_tyr-Item34-PCP_Fill_0
772:44,S,30,43@0.55;30,S,'42',28@0.57:42_cluster_WAC00631|c8684d|3971-4063|5477|42_cluster_WAC00631-2042-Item25-A_tyr-Item26-PCP_Fill_0,771
771:30,S,'42',28@0.57;28,SL,24,27@0.57;27,S,'57','59'@1:57_cluster_WAC06725|09ed46|914-1042|7680|57_cluster_WAC06725-2976-Item2-A_no_call-Item3-PCP_Fill_0,59_cluster_WAC06783|64e4a6|898-1026|7927|59_cluster_WAC06783-3057-Item2-A_hpg-Item3-PCP_Fill_0
767:46,S,'67',44@0.54;'67',TL,'67',24@0.092;24,S,22,'47'@0.54:719,766
766:24,S,22,'47'@0.54;'47',T,'71','47'@0.54:71_cluster_Kistamicin|8e9844|1908-1989|9800|71_cluster_Kistamicin-3712-Item15-A_no_call-Item16-PCP_Fill_0,765
765:'47',T,'71','47'@0.54;'47',T,96,'47'@0.54:723,764
764:'47',T,96,'47'@0.54;'47',T,84,'47'@0.54:756,763
763:'47',T,84,'47'@0.54;'47',T,100,'47'@0.7:759,762
762:'47',T,100,'47'@0.7;'47',T,'29','47'@0.85:29_cluster_pekiskomycin|3476da|428-506|3860|29_cluster_pekiskomycin-1543-Item28-A_no_call-Item29-PCP_Fill_0,47_cluster_WAC1420|96e4b7|429-506|6202|47_cluster_WAC1420-2432-Item28-A_no_call-Item29-PCP_Fill_0
759:'47',T,100,'47'@0.7;100,S,'18','26'@1:18_cluster_Chloroeremomycin-2|c050b8|429-508|2467|18_cluster_Chloroeremomycin-1-978-Item1-A_no_call-Item2-PCP_Fill_0,26_cluster_KaridNRRLB16535chlor|c050b8|429-508|3418|26_cluster_KaridNRRLB16535chlor-1371-Item28-A_tyr-Item29-PCP_Fill_0
756:'47',T,84,'47'@0.54;84,S,'03','04'@0.54:730,755
755:84,S,'03','04'@0.54;'04',T,'11','04'@0.54:11_cluster_AregGY080|2cb649|431-510|1447|11_cluster_AregGY080-617-Item29-A_tyr-Item30-PCP_Fill_0,754
754:'04',T,'11','04'@0.54;'04',T,'04',73@0.27:04_cluster_AazureaDSM43854|c18f09|427-505|451|04_cluster_AazureaDSM43854-179-Item28-A_tyr-Item29-PCP_Fill_0,753
753:'04',T,'04',73@0.27;73,T,73,76@0.14:741,752
752:73,T,73,76@0.14;76,T,76,90@0.39:746,751
751:76,T,76,90@0.39;90,S,'45',88@1:45_cluster_WAC1376cluster143|1bbe84|427-505|5889|45_cluster_WAC1376cluster143-2244-Item5-A_tyr-Item4-PCP_Fill_0,750
