82:30,S,'42',28@1:2,81
81:30,S,'42',28@1;28,T,58,28@1:7,80
22:27,T,27,6@1;27,T,'42',27@1:42_cluster_WAC00631|c8684d|4452-4608|5481|42_cluster_WAC00631-2042-Item27-E-Item28-NRPS-COM_Cterm_Fill_0,21
21:27,T,'42',27@1;27,S,'57','59'@1:57_cluster_WAC06725|451761|4801-4934|7733|57_cluster_WAC06725-2978-Item27-E-Item28-NRPS-COM_Cterm_Fill_0,59_cluster_WAC06783|42685d|4801-4934|7981|59_cluster_WAC06783-3059-Item27-E-Item28-NRPS-COM_Cterm_Fill_0
17:27,D,27,27@1;27,S,'57','59'@1:57_cluster_WAC06725|09ed46|2952-3105|7692|57_cluster_WAC06725-2976-Item8-E-Item9-NRPS-COM_Cterm_Fill_0,59_cluster_WAC06783|64e4a6|2936-3089|7939|59_cluster_WAC06783-3057-Item8-E-Item9-NRPS-COM_Cterm_Fill_0
14:28,S,24,27@1;24,S,'47',22@0.53:02_cluster_A47934|cfe15e|1300-1441|157|02_cluster_A47934-64-Item13-E-Item14-NRPS-COM_Cterm_Fill_0,13
13:24,S,'47',22@0.53;22,SL,14,21@0.53;21,S,17,20@1:50_cluster_WAC01529|876399|1357-1516|6676|50_cluster_WAC01529-2566-Item16-E-Item17-NRPS-COM_Cterm_Fill_0,12
12:21,S,17,20@1;20,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|a43e36|1342-1499|4105|31_cluster_SluteocolorNRBC13826-1609-Item20-E-Item21-NRPS-COM_Cterm_Fill_0,32_cluster_Ssilaceus-2|ed2ead|908-1065|4236|32_cluster_Ssilaceus-1-1653-Item3-E-Item4-NRPS-COM_Cterm_Fill_0
50_cluster_WAC01529|876399|1357-1516|6676|50_cluster_WAC01529-2566-Item16-E-Item17-NRPS-COM_Cterm_Fill_0:21,S,17,20@1;17,SL,'35','50'@1
02_cluster_A47934|cfe15e|1300-1441|157|02_cluster_A47934-64-Item13-E-Item14-NRPS-COM_Cterm_Fill_0:24,S,'47',22@0.53;'47',TL,'47','02'@0.53
7:28,T,58,28@1;58,S,'56','12'@0.3:56_cluster_WAC06369|e01984|1392-1545|7565|56_cluster_WAC06369-2951-Item27-E-Item28-NRPS-COM_Cterm_Fill_0,6
6:58,S,'56','12'@0.3;'12',T,'12','56'@0.3:12_cluster_ArifDSM43936-3|b905de|6045-6202|1619|12_cluster_ArifDSM43936-1-659-Item17-E-Item18-NRPS-COM_Cterm_Fill_0,56_cluster_WAC06369|3856d8|6021-6178|7552|56_cluster_WAC06369-2950-Item21-E-Item22-NRPS-COM_Cterm_Fill_0
2:30,S,'42',28@1;'42',D,'42','42'@1:42_cluster_WAC00631|27de41|2428-2584|5439|42_cluster_WAC00631-2040-Item7-E-Item8-NRPS-COM_Cterm_Fill_0,42_cluster_WAC00631|19b4d7|1380-1535|5452|42_cluster_WAC00631-2041-Item13-E-Item14-NRPS-COM_Cterm_Fill_0
