868:60,D,60,60@1:142,867
867:60,D,60,60@1;60,S,46,59@1:859,866
29_cluster_pekiskomycin|cb4f2e|724-906|3815|29_cluster_pekiskomycin-1527-Item7-Cond-Item8-A_leu_Fill_0:24,S,22,'47'@0.67;22,SL,21,14@0.67;14,SL,'13',12@0.67;12,SL,6,11@0.67;11,SL,9,'29'@0.67
722:44,D,44,44@0.72;44,T,108,44@0.85:300,721
721:44,T,108,44@0.85;44,D,44,44@1:343,720
720:44,D,44,44@1;44,D,44,44@1:474,719
719:44,D,44,44@1;44,S,30,43@1:667,718
718:44,S,30,43@1;43,T,17,43@1:676,717
717:43,T,17,43@1;43,D,43,43@1:689,716
716:43,D,43,43@1;43,S,41,'62'@1:702,715
715:43,S,41,'62'@1;'62',T,40,'62'@1:705,714
714:'62',T,40,'62'@1;'62',T,'62',35@1:62_cluster_SspCNQ329.cluster001|d9cd3f|310-487|8382|62_cluster_SspCNQ329.cluster001-3215-Item17-Cond-Item18-A_no_call_Fill_0,713
713:'62',T,'62',35@1;35,S,'65',33@1:65_cluster_SspCNT371.cluster001|f326c5|1848-2025|8801|65_cluster_SspCNT371.cluster001-3384-Item28-Cond-Item29-A_no_call_Fill_0,712
712:35,S,'65',33@1;33,S,'66','64'@1:66_cluster_SspCNY243.cluster001|3b57c3|310-487|8939|66_cluster_SspCNY243.cluster001-3437-Item18-Cond-Item19-A_no_call_Fill_0,711
711:33,S,'66','64'@1;'64',T,'63','64'@1:63_cluster_SspCNQ525.cluster001|4ed3e5|1848-2025|8500|63_cluster_SspCNQ525.cluster001-3272-Item28-Cond-Item29-A_no_call_Fill_0,64_cluster_SspCNQ865.cluster001|180773|1847-2024|8609|64_cluster_SspCNQ865.cluster001-3328-Item28-Cond-Item29-A_no_call_Fill_0
705:'62',T,40,'62'@1;40,S,'33','58'@1:33_cluster_SspCNQ509|68d264|310-487|4392|33_cluster_SspCNQ509-1693-Item18-Cond-Item19-A_nrp_Fill_0,58_cluster_WAC06738cluster004|bcc467|310-487|7853|58_cluster_WAC06738cluster004-3022-Item15-Cond-Item16-A_nrp_Fill_0
702:43,S,41,'62'@1;41,S,40,37@1:694,701
701:41,S,40,37@1;37,S,'63',35@1:63_cluster_SspCNQ525.cluster001|a73d35|310-491|8479|63_cluster_SspCNQ525.cluster001-3271-Item18-Cond-Item19-A_no_call_Fill_0,700
700:37,S,'63',35@1;35,S,'65',33@1:65_cluster_SspCNT371.cluster001|830555|310-491|8780|65_cluster_SspCNT371.cluster001-3383-Item18-Cond-Item19-A_no_call_Fill_0,699
699:35,S,'65',33@1;33,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|1b0239|310-491|8683|64_cluster_SspCNQ865.cluster001-3327-Item18-Cond-Item19-A_no_call_Fill_0,66_cluster_SspCNY243.cluster001|731b10|1852-2033|8960|66_cluster_SspCNY243.cluster001-3438-Item28-Cond-Item29-A_no_call_Fill_0
694:41,S,40,37@1;40,T,'62',40@1:62_cluster_SspCNQ329.cluster001|f73c1e|1841-2022|8309|62_cluster_SspCNQ329.cluster001-3216-Item26-Cond-Item27-A_no_call_Fill_0,693
693:40,T,'62',40@1;40,S,'33','58'@1:33_cluster_SspCNQ509|436ed9|1840-2021|4413|33_cluster_SspCNQ509-1694-Item28-Cond-Item29-A_nrp_Fill_0,58_cluster_WAC06738cluster004|d9a549|1840-2021|7874|58_cluster_WAC06738cluster004-3023-Item25-Cond-Item26-A_nrp_Fill_0
689:43,D,43,43@1;43,S,'62',41@1:62_cluster_SspCNQ329.cluster001|7c2c30|305-485|8330|62_cluster_SspCNQ329.cluster001-3217-Item36-Cond-Item37-A_no_call_Fill_0,688
688:43,S,'62',41@1;41,S,40,37@1:680,687
687:41,S,40,37@1;37,S,'63',35@0.43:66_cluster_SspCNY243.cluster001|fe4486|305-485|8980|66_cluster_SspCNY243.cluster001-3439-Item38-Cond-Item39-A_no_call_Fill_0,686
686:37,S,'63',35@0.43;35,S,'65',33@0.43:65_cluster_SspCNT371.cluster001|25c062|305-485|8821|65_cluster_SspCNT371.cluster001-3385-Item38-Cond-Item39-A_no_call_Fill_0,685
685:35,S,'65',33@0.43;33,T,'63',33@0.14:63_cluster_SspCNQ525.cluster001|286c95|305-485|8520|63_cluster_SspCNQ525.cluster001-3273-Item38-Cond-Item39-A_no_call_Fill_0,64_cluster_SspCNQ865.cluster001|c6a231|305-485|8629|64_cluster_SspCNQ865.cluster001-3329-Item38-Cond-Item39-A_no_call_Fill_0
64_cluster_SspCNQ865.cluster001|c6a231|305-485|8629|64_cluster_SspCNQ865.cluster001-3329-Item38-Cond-Item39-A_no_call_Fill_0:33,T,'63',33@0.14;33,SL,'66','64'@0.14
66_cluster_SspCNY243.cluster001|fe4486|305-485|8980|66_cluster_SspCNY243.cluster001-3439-Item38-Cond-Item39-A_no_call_Fill_0:37,S,'63',35@0.43;'63',TL,'63','66'@0.43
680:41,S,40,37@1;40,S,'33','58'@1:33_cluster_SspCNQ509|511064|305-484|4434|33_cluster_SspCNQ509-1695-Item38-Cond-Item39-A_nrp_Fill_0,58_cluster_WAC06738cluster004|67b8a2|305-484|7808|58_cluster_WAC06738cluster004-3024-Item35-Cond-Item36-A_nrp_Fill_0
676:43,T,17,43@1;17,S,'35','50'@1:35_cluster_SspNRRLS1521-3|4d8679|307-487|4644|35_cluster_SspNRRLS1521-1-1760-Item11-Cond-Item12-A_tyr_Fill_0,675
675:17,S,'35','50'@1;'50',T,20,'50'@1:671,674
674:'50',T,20,'50'@1;'50',T,'13','50'@1:13_cluster_AspOK074cluster1|2f3ccd|307-487|1745|13_cluster_AspOK074cluster1-691-Item31-Cond-Item32-A_nrp_Fill_0,50_cluster_WAC01529|b2e10b|307-487|6710|50_cluster_WAC01529-2568-Item32-Cond-Item33-A_nrp_Fill_0
671:'50',T,20,'50'@1;20,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|26e45e|307-487|4142|31_cluster_SluteocolorNRBC13826-1611-Item36-Cond-Item37-A_nrp_Fill_0,32_cluster_Ssilaceus-3|0da9d1|307-487|4269|32_cluster_Ssilaceus-1-1656-Item5-Cond-Item6-A_nrp_Fill_0
667:44,S,30,43@1;30,T,30,55@0.49:629,666
666:30,T,30,55@0.49;55,S,'68',53@0.5:71_cluster_Kistamicin|011102|354-523|9849|71_cluster_Kistamicin-3711-Item6-Cond-Item7-A_no_call_Fill_0,665
665:55,S,'68',53@0.5;53,S,'28',51@0.5:07_cluster_AkerFH1893nogabecin|13612f|312-487|887|07_cluster_AkerFH1893nogabecin-339-Item8-Cond-Item9-A_phe_Fill_0,664
664:53,S,'28',51@0.5;51,T,51,91@0.5:644,663
663:51,T,51,91@0.5;91,S,90,85@1:649,662
662:91,S,90,85@1;85,SL,84,81@1;81,S,'09',79@1:52_cluster_WAC4182cluster089|c61315|308-479|7059|52_cluster_WAC4182cluster089-2742-Item26-Cond-Item25-A_dhpg_Fill_0,661
661:81,S,'09',79@1;79,S,73,78@1:657,660
660:79,S,73,78@1;78,S,76,'55'@1:08_cluster_AlurRistocetin|abf26e|284-455|1014|08_cluster_AlurRistocetin-430-Item26-Cond-Item25-A_dpg_Fill_0,55_cluster_WAC05977|95f0b5|284-455|7462|55_cluster_WAC05977-2903-Item7-Cond-Item8-A_dhpg_Fill_0
08_cluster_AlurRistocetin|abf26e|284-455|1014|08_cluster_AlurRistocetin-430-Item26-Cond-Item25-A_dpg_Fill_0:78,S,76,'55'@1;76,SL,'52','08'@1
657:79,S,73,78@1;73,SL,72,67@1;67,S,'06',65@1:06_cluster_Ajap-Ristocetin|276c55|307-480|765|06_cluster_Ajap-Ristocetin-285-Item8-Cond-Item9-A_dpg_Fill_0,656
656:67,S,'06',65@1;65,S,'53',63@1:53_cluster_WAC4197cluster073|41ac20|288-461|7214|53_cluster_WAC4197cluster073-2788-Item7-Cond-Item8-A_dhpg_Fill_0,655
655:65,S,'53',63@1;63,S,'25','27'@1:25_cluster_JPLW01000007|e2e0bc|307-480|3288|25_cluster_JPLW01000007-1282-Item8-Cond-Item9-A_dpg_Fill_0,27_cluster_KF882511-Ristocetin|e2e0bc|307-480|3592|27_cluster_KF882511-Ristocetin-1415-Item8-Cond-Item9-A_dpg_Fill_0
52_cluster_WAC4182cluster089|c61315|308-479|7059|52_cluster_WAC4182cluster089-2742-Item26-Cond-Item25-A_dhpg_Fill_0:81,S,'09',79@1;'09',TL,'09','52'@1
649:91,S,90,85@1;90,S,'45',88@1:45_cluster_WAC1376cluster143|6396c3|291-464|5869|45_cluster_WAC1376cluster143-2262-Item25-Cond-Item24-A_dhpg_Fill_0,648
648:90,S,'45',88@1;88,S,'44','46'@1:44_cluster_WAC1375|86eb70|287-460|5667|44_cluster_WAC1375-2128-Item7-Cond-Item8-A_dpg_Fill_0,46_cluster_WAC1416cluster068|4017ae|291-464|6078|46_cluster_WAC1416cluster068-2305-Item7-Cond-Item8-A_dhpg_Fill_0
644:51,T,51,91@0.5;51,S,49,'48'@1:636,643
643:51,S,49,'48'@1;'48',T,'39','48'@0.5:639,642
642:'48',T,'39','48'@0.5;'48',T,'48','02'@1:48_cluster_WAC1424cluster109|3f00df|291-464|6364|48_cluster_WAC1424cluster109-2484-Item24-Cond-Item23-A_dhpg_Fill_0,02_cluster_A47934|cfe15e|288-463|151|02_cluster_A47934-64-Item10-Cond-Item11-A_dpg_Fill_0
639:'48',T,'39','48'@0.5;'39',T,'39','60'@0.5:39_cluster_UK68597|b35ee4|311-486|5099|39_cluster_UK68597-1910-Item7-Cond-Item8-A_dpg_Fill_0,60_cluster_AsubtropicusNRRLB24665|33354c|311-486|8061|60_cluster_AsubtropicusNRRLB24665-3099-Item8-Cond-Item9-A_dhpg_Fill_0
636:51,S,49,'48'@1;49,S,'71','01'@0.5:04_cluster_AazureaDSM43854|058076|311-486|481|04_cluster_AazureaDSM43854-158-Item7-Cond-Item8-A_dhpg_Fill_0,635
635:49,S,'71','01'@0.5;'01',T,'01','28'@1:01_cluster_A40926|b69bf0|290-465|95|01_cluster_A40926-13-Item7-Cond-Item6-A_dpg_Fill_0,28_cluster_NcoxDSM45129|4a58b3|310-485|3712|28_cluster_NcoxDSM45129-1494-Item11-Cond-Item12-A_dhpg_Fill_0
04_cluster_AazureaDSM43854|058076|311-486|481|04_cluster_AazureaDSM43854-158-Item7-Cond-Item8-A_dhpg_Fill_0:49,S,'71','01'@0.5;'71',TL,'71','04'@0.5
07_cluster_AkerFH1893nogabecin|13612f|312-487|887|07_cluster_AkerFH1893nogabecin-339-Item8-Cond-Item9-A_phe_Fill_0:53,S,'28',51@0.5;'28',TL,'28','07'@0.5
71_cluster_Kistamicin|011102|354-523|9849|71_cluster_Kistamicin-3711-Item6-Cond-Item7-A_no_call_Fill_0:55,S,'68',53@0.5;'68',TL,'68','71'@0.5
629:30,T,30,55@0.49;30,D,30,30@0.42:561,628
628:30,D,30,30@0.42;30,S,'42',28@0.42:566,627
627:30,S,'42',28@0.42;28,S,27,24@0.42:71_cluster_Kistamicin|492fcd|490-656|9840|71_cluster_Kistamicin-3710-Item2-Cond-Item3-A_no_call_Fill_0,626
626:28,S,27,24@0.42;24,S,22,'47'@0.35:10_cluster_ArectNRRLB16090|91b351|886-1048|1356|10_cluster_ArectNRRLB16090-519-Item3-Cond-Item4-A_tyr_Fill_0,625
625:24,S,22,'47'@0.35;'47',T,'47',97@0.35:583,624
624:'47',T,'47',97@0.35;97,S,96,93@0.42:600,623
623:97,S,96,93@0.42;93,S,'11',91@0.99:07_cluster_AkerFH1893nogabecin|0ae4e5|895-1058|876|07_cluster_AkerFH1893nogabecin-338-Item3-Cond-Item4-A_bht_Fill_0,622
622:93,S,'11',91@0.99;91,S,85,90@0.99:614,621
621:91,S,85,90@0.99;90,T,'04',90@0.99:04_cluster_AazureaDSM43854|eaed41|887-1050|472|04_cluster_AazureaDSM43854-157-Item3-Cond-Item4-A_bht_Fill_0,620
620:90,T,'04',90@0.99;90,S,'45',88@1:45_cluster_WAC1376cluster143|ff21dc|872-1035|5926|45_cluster_WAC1376cluster143-2263-Item29-Cond-Item28-A_bht_Fill_0,619
619:90,S,'45',88@1;88,S,'44','46'@1:44_cluster_WAC1375|b413c5|894-1057|5730|44_cluster_WAC1375-2127-Item3-Cond-Item4-A_bht|tyr_Fill_0,46_cluster_WAC1416cluster068|92ab0d|896-1059|6070|46_cluster_WAC1416cluster068-2304-Item3-Cond-Item4-A_bht_Fill_0
