418:93,TTD,-1,93@1:14,417
417:93,TTD,-1,93@1;93,TTD,-1,93@1:21,416
347:45,S,43,'10'@1;'10',T,'04','10'@0.5:04_cluster_AazureaDSM43854|40c465|1083-1373|495|04_cluster_AazureaDSM43854-159-Item14-E_0,10_cluster_ArectNRRLB16090|9ee539|1012-1305|1318|10_cluster_ArectNRRLB16090-520-Item11-E_0
344:45,S,43,'10'@1;43,TTD,-1,43@0.021:02_cluster_A47934|3c365b|1035-1326|169|02_cluster_A47934-65-Item19-E_0,343
343:43,TTD,-1,43@0.021;43,T,36,43@0.0022:339,342
342:43,T,36,43@0.0022;43,S,'39','60'@1:39_cluster_UK68597|e5e4cd|1040-1332|5118|39_cluster_UK68597-1912-Item16-E_0,60_cluster_AsubtropicusNRRLB24665|294514|1036-1329|8077|60_cluster_AsubtropicusNRRLB24665-3100-Item16-E_0
339:43,T,36,43@0.0022;36,TTD,-1,36@0.0045:48_cluster_WAC1424cluster109|2a4bff|1038-1330|6334|48_cluster_WAC1424cluster109-2483-Item16-E_0,338
338:36,TTD,-1,36@0.0045;36,T,36,'47'@0.00091:330,337
337:36,T,36,'47'@0.00091;'47',T,'01','47'@0.034:333,336
336:'47',T,'01','47'@0.034;'47',T,'29','47'@0.21:29_cluster_pekiskomycin|61ac15|1050-1342|3829|29_cluster_pekiskomycin-1529-Item14-E_0,47_cluster_WAC1420|713508|1056-1349|6214|47_cluster_WAC1420-2418-Item14-E_0
333:'47',T,'01','47'@0.034;'01',T,'01','28'@0.21:01_cluster_A40926|2105e4|1036-1329|65|01_cluster_A40926-23-Item18-E_0,28_cluster_NcoxDSM45129|26d899|1034-1327|3735|28_cluster_NcoxDSM45129-1495-Item18-E_0
330:36,T,36,'47'@0.00091;36,TTD,36,-1@0.015:308,329
329:36,TTD,36,-1@0.015;-1,DD,-1,-1@0.043:07_cluster_AkerFH1893nogabecin|5b689a|1032-1321|901|07_cluster_AkerFH1893nogabecin-340-Item15-E_0,328
328:-1,DD,-1,-1@0.043;-1,TLFD,-1,26@0.043;26,S,25,20@0.26:314,327
327:26,S,25,20@0.26;20,S,16,19@0.088:321,326
326:20,S,16,19@0.088;19,S,'52','08'@1:52_cluster_WAC4182cluster089|6721ad|1025-1309|6996|52_cluster_WAC4182cluster089-2741-Item19-E_0,325
325:19,S,'52','08'@1;'08',T,'08','55'@0.5:08_cluster_AlurRistocetin|b5adf0|1028-1311|1049|08_cluster_AlurRistocetin-429-Item19-E_0,55_cluster_WAC05977|7779c3|1024-1304|7432|55_cluster_WAC05977-2904-Item14-E_0
321:20,S,16,19@0.088;16,TLTD,16,-1@0.088;-1,TLFD,-1,4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|a35ef6|1024-1307|7181|53_cluster_WAC4197cluster073-2789-Item14-E_0,320
320:4,S,'53',2@1;2,T,'06',2@0.5:06_cluster_Ajap-Ristocetin|b7eff3|1024-1307|779|06_cluster_Ajap-Ristocetin-286-Item15-E_0,319
319:2,T,'06',2@0.5;2,S,'25','27'@1:25_cluster_JPLW01000007|f68926|1024-1307|3302|25_cluster_JPLW01000007-1283-Item15-E_0,27_cluster_KF882511-Ristocetin|f68926|1024-1307|3606|27_cluster_KF882511-Ristocetin-1416-Item15-E_0
314:26,S,25,20@0.26;25,S,'45',23@1:45_cluster_WAC1376cluster143|89a266|1028-1313|5901|45_cluster_WAC1376cluster143-2261-Item18-E_0,313
313:25,S,'45',23@1;23,S,'44','46'@1:44_cluster_WAC1375|5eeb3d|1035-1320|5681|44_cluster_WAC1375-2129-Item14-E_0,46_cluster_WAC1416cluster068|d6e140|1032-1317|6092|46_cluster_WAC1416cluster068-2306-Item14-E_0
07_cluster_AkerFH1893nogabecin|5b689a|1032-1321|901|07_cluster_AkerFH1893nogabecin-340-Item15-E_0:-1,DD,-1,-1@0.043;-1,TLFD,-1,'07'@1
308:36,TTD,36,-1@0.015;36,S,32,35@0.021:300,307
307:36,S,32,35@0.021;35,T,35,39@0.21:303,306
306:35,T,35,39@0.21;39,S,'18','26'@1:18_cluster_Chloroeremomycin-1|2871d2|1036-1333|2401|18_cluster_Chloroeremomycin-1-961-Item14-E_0,26_cluster_KaridNRRLB16535chlor|2871d2|1036-1333|3461|26_cluster_KaridNRRLB16535chlor-1355-Item14-E_0
303:35,T,35,39@0.21;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|903de1|1036-1332|631|05_cluster_AbalhimycinaFH1894-231-Item14-E_0,14_cluster_Balhimycin|69cf6a|1036-1332|1844|14_cluster_Balhimycin-709-Item14-E_0
300:36,S,32,35@0.021;32,S,'11',30@0.011:11_cluster_AregGY080|ac6242|1036-1333|1501|11_cluster_AregGY080-602-Item15-E_0,299
299:32,S,'11',30@0.011;30,S,29,26@0.00096:03_cluster_AalbaDSM44262|311e81|1036-1330|293|03_cluster_AalbaDSM44262-96-Item15-E_0,298
298:30,S,29,26@0.00096;26,TTD,-1,26@0.00011:09_cluster_AOHO0100074|ca1b25|1036-1333|1186|09_cluster_AOHO0100074-462-Item14-E_0,297
297:26,TTD,-1,26@0.00011;26,TLTD,26,-1@0.00011;-1,TLFD,-1,9@0.34;9,S,'40','51'@1:40_cluster_Vancomycin|aa4140|1036-1329|5220|40_cluster_Vancomycin-1956-Item14-E_0,51_cluster_WAC4169cluster051|66fb6a|1036-1329|6868|51_cluster_WAC4169cluster051-2638-Item19-E_0
09_cluster_AOHO0100074|ca1b25|1036-1333|1186|09_cluster_AOHO0100074-462-Item14-E_0:26,TTD,-1,26@0.00011;-1,TLFD,-1,'09'@0.33
03_cluster_AalbaDSM44262|311e81|1036-1330|293|03_cluster_AalbaDSM44262-96-Item15-E_0:30,S,29,26@0.00096;29,SL,'04','03'@0.0041
48_cluster_WAC1424cluster109|2a4bff|1038-1330|6334|48_cluster_WAC1424cluster109-2483-Item16-E_0:36,TTD,-1,36@0.0045;-1,TLFD,-1,'48'@0.37
02_cluster_A47934|3c365b|1035-1326|169|02_cluster_A47934-65-Item19-E_0:43,TTD,-1,43@0.021;-1,TLFD,-1,'02'@1
71_cluster_Kistamicin|011102|1072-1353|9854|71_cluster_Kistamicin-3711-Item9-E_0:45,TTD,-1,45@0.21;-1,TLFD,-1,'71'@1
288:73,T,73,45@0.1;73,TTD,-1,73@1:10_cluster_ArectNRRLB16090|91b351|1622-1904|1361|10_cluster_ArectNRRLB16090-519-Item6-E_0,287
287:73,TTD,-1,73@1;73,T,73,45@0.39:221,286
286:73,T,73,45@0.39;45,S,'10',43@0.68:282,285
285:45,S,'10',43@0.68;43,S,'39','60'@1:39_cluster_UK68597|94efaf|1603-1899|5095|39_cluster_UK68597-1909-Item6-E_0,60_cluster_AsubtropicusNRRLB24665|9b0aff|1602-1898|8055|60_cluster_AsubtropicusNRRLB24665-3098-Item6-E_0
282:45,S,'10',43@0.68;'10',TTD,-1,'10'@0.68:02_cluster_A47934|cfe15e|1009-1299|156|02_cluster_A47934-64-Item13-E_0,281
281:'10',TTD,-1,'10'@0.68;'10',T,'10',43@0.11:10_cluster_ArectNRRLB16090|9ee539|2511-2803|1326|10_cluster_ArectNRRLB16090-520-Item15-E_0,280
280:'10',T,'10',43@0.11;43,TTD,-1,43@0.54:48_cluster_WAC1424cluster109|2a4bff|2544-2847|6342|48_cluster_WAC1424cluster109-2483-Item12-E_0,279
279:43,TTD,-1,43@0.54;43,T,43,32@0:227,278
278:43,T,43,32@0;32,TTD,-1,32@0:02_cluster_A47934|3c365b|2530-2833|177|02_cluster_A47934-65-Item23-E_0,277
277:32,TTD,-1,32@0;32,T,32,'47'@0:273,276
276:32,T,32,'47'@0;'47',T,'29','47'@0.22:29_cluster_pekiskomycin|61ac15|2560-2863|3837|29_cluster_pekiskomycin-1529-Item18-E_0,47_cluster_WAC1420|713508|2567-2871|6222|47_cluster_WAC1420-2418-Item18-E_0
273:32,T,32,'47'@0;32,T,'28',32@0:231,272
272:32,T,'28',32@0;32,S,30,'11'@0.00048:254,271
271:32,S,30,'11'@0.00048;'11',T,'11',39@0.00024:267,270
270:'11',T,'11',39@0.00024;39,S,'18','26'@1:18_cluster_Chloroeremomycin-1|2871d2|2537-2840|2409|18_cluster_Chloroeremomycin-1-961-Item18-E_0,26_cluster_KaridNRRLB16535chlor|2871d2|2537-2840|3469|26_cluster_KaridNRRLB16535chlor-1355-Item18-E_0
267:'11',T,'11',39@0.00024;'11',T,35,'11'@0.00024:257,266
266:'11',T,35,'11'@0.00024;'11',T,'03','11'@0.00024:03_cluster_AalbaDSM44262|311e81|2523-2812|301|03_cluster_AalbaDSM44262-96-Item19-E_0,265
265:'11',T,'03','11'@0.00024;'11',T,'11',9@0.071:11_cluster_AregGY080|ac6242|2528-2827|1509|11_cluster_AregGY080-602-Item19-E_0,264
264:'11',T,'11',9@0.071;9,T,'09',9@0.2:09_cluster_AOHO0100074|ca1b25|2529-2820|1194|09_cluster_AOHO0100074-462-Item18-E_0,263
263:9,T,'09',9@0.2;9,S,'40','51'@1:40_cluster_Vancomycin|aa4140|2525-2814|5228|40_cluster_Vancomycin-1956-Item18-E_0,51_cluster_WAC4169cluster051|66fb6a|2525-2814|6876|51_cluster_WAC4169cluster051-2638-Item15-E_0
257:'11',T,35,'11'@0.00024;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|903de1|2537-2840|639|05_cluster_AbalhimycinaFH1894-231-Item18-E_0,14_cluster_Balhimycin|69cf6a|2537-2840|1852|14_cluster_Balhimycin-709-Item18-E_0
254:32,S,30,'11'@0.00048;30,TTD,-1,30@0.00048:07_cluster_AkerFH1893nogabecin|5b689a|2524-2828|909|07_cluster_AkerFH1893nogabecin-340-Item19-E_0,253
253:30,TTD,-1,30@0.00048;30,S,29,26@0.00048:04_cluster_AazureaDSM43854|40c465|2564-2868|503|04_cluster_AazureaDSM43854-159-Item18-E_0,252
252:30,S,29,26@0.00048;26,S,25,20@0.00048:236,251
251:26,S,25,20@0.00048;20,S,16,19@0.00048:55_cluster_WAC05977|7779c3|2484-2775|7440|55_cluster_WAC05977-2904-Item18-E_0,250
250:20,S,16,19@0.00048;19,TTD,-1,19@0.072:45_cluster_WAC1376cluster143|89a266|2496-2787|5909|45_cluster_WAC1376cluster143-2261-Item14-E_0,249
249:19,TTD,-1,19@0.072;19,TTD,19,-1@0.12:241,248
248:19,TTD,19,-1@0.12;-1,TLFD,-1,4@0.45;4,S,'53',2@1:53_cluster_WAC4197cluster073|a35ef6|2486-2776|7189|53_cluster_WAC4197cluster073-2789-Item18-E_0,247
247:4,S,'53',2@1;2,T,'06',2@0.5:06_cluster_Ajap-Ristocetin|b7eff3|2486-2777|787|06_cluster_Ajap-Ristocetin-286-Item19-E_0,246
246:2,T,'06',2@0.5;2,S,'25','27'@1:25_cluster_JPLW01000007|f68926|2486-2776|3310|25_cluster_JPLW01000007-1283-Item19-E_0,27_cluster_KF882511-Ristocetin|f68926|2486-2776|3614|27_cluster_KF882511-Ristocetin-1416-Item19-E_0
241:19,TTD,19,-1@0.12;19,S,'08','52'@0.16:08_cluster_AlurRistocetin|b5adf0|2490-2781|1057|08_cluster_AlurRistocetin-429-Item15-E_0,52_cluster_WAC4182cluster089|6721ad|2489-2780|7004|52_cluster_WAC4182cluster089-2741-Item15-E_0
45_cluster_WAC1376cluster143|89a266|2496-2787|5909|45_cluster_WAC1376cluster143-2261-Item14-E_0:19,TTD,-1,19@0.072;-1,TLFD,-1,'45'@0.16
55_cluster_WAC05977|7779c3|2484-2775|7440|55_cluster_WAC05977-2904-Item18-E_0:20,S,16,19@0.00048;16,SL,14,'55'@0.00048
236:26,S,25,20@0.00048;25,SL,'45',23@0.00048;23,S,'44','46'@1:44_cluster_WAC1375|5eeb3d|2502-2795|5689|44_cluster_WAC1375-2129-Item18-E_0,46_cluster_WAC1416cluster068|d6e140|2499-2792|6100|46_cluster_WAC1416cluster068-2306-Item18-E_0
04_cluster_AazureaDSM43854|40c465|2564-2868|503|04_cluster_AazureaDSM43854-159-Item18-E_0:30,S,29,26@0.00048;29,SL,'03','04'@0.00048
07_cluster_AkerFH1893nogabecin|5b689a|2524-2828|909|07_cluster_AkerFH1893nogabecin-340-Item19-E_0:30,TTD,-1,30@0.00048;-1,TLFD,-1,'07'@1
231:32,T,'28',32@0;'28',T,'01','28'@0.27:01_cluster_A40926|2105e4|2532-2835|73|01_cluster_A40926-23-Item22-E_0,28_cluster_NcoxDSM45129|26d899|2533-2836|3743|28_cluster_NcoxDSM45129-1495-Item22-E_0
02_cluster_A47934|3c365b|2530-2833|177|02_cluster_A47934-65-Item23-E_0:32,TTD,-1,32@0;-1,TLFD,-1,'02'@0.39
227:43,T,43,32@0;43,S,'39','60'@1:39_cluster_UK68597|e5e4cd|2537-2840|5126|39_cluster_UK68597-1912-Item20-E_0,60_cluster_AsubtropicusNRRLB24665|294514|2528-2832|8085|60_cluster_AsubtropicusNRRLB24665-3100-Item20-E_0
48_cluster_WAC1424cluster109|2a4bff|2544-2847|6342|48_cluster_WAC1424cluster109-2483-Item12-E_0:43,TTD,-1,43@0.54;-1,TLFD,-1,'48'@1
02_cluster_A47934|cfe15e|1009-1299|156|02_cluster_A47934-64-Item13-E_0:'10',TTD,-1,'10'@0.68;-1,TLFD,-1,'02'@1
221:73,T,73,45@0.39;73,S,71,'47'@0.55:175,220
220:73,S,71,'47'@0.55;'47',T,32,'47'@0.2:216,219
219:'47',T,32,'47'@0.2;'47',T,'47','29'@0.47:47_cluster_WAC1420|6cb684|1623-1922|6266|47_cluster_WAC1420-2415-Item6-E_0,29_cluster_pekiskomycin|cb4f2e|0-247|3812|29_cluster_pekiskomycin-1527-Item6-E_0
216:'47',T,32,'47'@0.2;32,S,'11',30@0.5:192,215
215:32,S,'11',30@0.5;30,S,26,29@0.5:211,214
214:30,S,26,29@0.5;29,S,'03','04'@0.2:07_cluster_AkerFH1893nogabecin|0ae4e5|1606-1898|881|07_cluster_AkerFH1893nogabecin-338-Item6-E_0,04_cluster_AazureaDSM43854|eaed41|1598-1888|477|04_cluster_AazureaDSM43854-157-Item6-E_0
07_cluster_AkerFH1893nogabecin|0ae4e5|1606-1898|881|07_cluster_AkerFH1893nogabecin-338-Item6-E_0:29,S,'03','04'@0.2;'03',TL,'03','07'@0.1
211:30,S,26,29@0.5;26,S,25,20@0.5:197,210
210:26,S,25,20@0.5;20,S,16,19@0.17:204,209
209:20,S,16,19@0.17;19,S,'52','08'@1:52_cluster_WAC4182cluster089|7af037|1595-1878|7053|52_cluster_WAC4182cluster089-2743-Item28-E_0,208
208:19,S,'52','08'@1;'08',T,'55','08'@0.5:55_cluster_WAC05977|c79709|1592-1874|7418|55_cluster_WAC05977-2902-Item6-E_0,08_cluster_AlurRistocetin|f97b18|1594-1876|1079|08_cluster_AlurRistocetin-431-Item27-E_0
204:20,S,16,19@0.17;16,TLTD,16,-1@0.17;-1,TLFD,-1,6@1;6,S,'06',4@1:06_cluster_Ajap-Ristocetin|fe5f01|1595-1878|759|06_cluster_Ajap-Ristocetin-284-Item6-E_0,203
203:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|c876dd|1594-1877|7167|53_cluster_WAC4197cluster073-2787-Item6-E_0,202
202:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|106ba6|1592-1875|3282|25_cluster_JPLW01000007-1281-Item6-E_0,27_cluster_KF882511-Ristocetin|106ba6|1592-1875|3586|27_cluster_KF882511-Ristocetin-1414-Item6-E_0
197:26,S,25,20@0.5;25,S,'45',23@1:45_cluster_WAC1376cluster143|ff21dc|1582-1869|5931|45_cluster_WAC1376cluster143-2263-Item26-E_0,196
196:25,S,'45',23@1;23,S,'44','46'@1:44_cluster_WAC1375|b413c5|1604-1891|5735|44_cluster_WAC1375-2127-Item6-E_0,46_cluster_WAC1416cluster068|92ab0d|1606-1893|6075|46_cluster_WAC1416cluster068-2304-Item6-E_0
192:32,S,'11',30@0.5;'11',T,'11',39@0.25:188,191
191:'11',T,'11',39@0.25;39,S,'18','26'@1:18_cluster_Chloroeremomycin-1|4e2bb9|1603-1906|2384|18_cluster_Chloroeremomycin-1-960-Item6-E_0,26_cluster_KaridNRRLB16535chlor|4e2bb9|1603-1906|3444|26_cluster_KaridNRRLB16535chlor-1354-Item6-E_0
188:'11',T,'11',39@0.25;'11',T,'11',35@0.25:184,187
187:'11',T,'11',35@0.25;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|8cd520|1605-1906|614|05_cluster_AbalhimycinaFH1894-230-Item6-E_0,14_cluster_Balhimycin|c600a7|1605-1906|1884|14_cluster_Balhimycin-708-Item6-E_0
184:'11',T,'11',35@0.25;'11',T,'11',9@0.036:11_cluster_AregGY080|d0f836|1606-1909|1467|11_cluster_AregGY080-601-Item6-E_0,183
183:'11',T,'11',9@0.036;9,T,'03',9@0.036:03_cluster_AalbaDSM44262|b89e0c|1601-1889|353|03_cluster_AalbaDSM44262-95-Item6-E_0,182
182:9,T,'03',9@0.036;9,T,'09',9@0.19:09_cluster_AOHO0100074|5a50ae|1604-1901|1213|09_cluster_AOHO0100074-461-Item6-E_0,181
181:9,T,'09',9@0.19;9,S,'40','51'@1:40_cluster_Vancomycin|b91546|1605-1902|5204|40_cluster_Vancomycin-1955-Item6-E_0,51_cluster_WAC4169cluster051|ba280c|1608-1904|6824|51_cluster_WAC4169cluster051-2640-Item27-E_0
175:73,S,71,'47'@0.55;71,TTD,-1,71@0.3:165,174
174:71,TTD,-1,71@0.3;71,TTD,-1,71@0.14:02_cluster_A47934|96a3b7|1602-1896|221|02_cluster_A47934-63-Item9-E_0,173
173:71,TTD,-1,71@0.14;71,TTD,-1,71@0.032:169,172
172:71,TTD,-1,71@0.032;71,TL,71,43@0.016;43,S,'60','39'@1:60_cluster_AsubtropicusNRRLB24665|33354c|1032-1325|8066|60_cluster_AsubtropicusNRRLB24665-3099-Item11-E_0,39_cluster_UK68597|b35ee4|1032-1235|5104|39_cluster_UK68597-1910-Item10-E_0
169:71,TTD,-1,71@0.032;-1,DD,-1,-1@0.16:48_cluster_WAC1424cluster109|3b5f08|1590-1869|6361|48_cluster_WAC1424cluster109-2485-Item25-E_0,48_cluster_WAC1424cluster109|3f00df|1011-1285|6369|48_cluster_WAC1424cluster109-2484-Item21-E_0
48_cluster_WAC1424cluster109|3f00df|1011-1285|6369|48_cluster_WAC1424cluster109-2484-Item21-E_0:-1,DD,-1,-1@0.16;-1,TLFD,-1,'48'@0.51
48_cluster_WAC1424cluster109|3b5f08|1590-1869|6361|48_cluster_WAC1424cluster109-2485-Item25-E_0:-1,DD,-1,-1@0.16;-1,TLFD,-1,'48'@0.51
02_cluster_A47934|96a3b7|1602-1896|221|02_cluster_A47934-63-Item9-E_0:71,TTD,-1,71@0.14;-1,TLFD,-1,'02'@1
165:71,TTD,-1,71@0.3;-1,DD,-1,-1@0.14:01_cluster_A40926|3799f5|1611-1913|111|01_cluster_A40926-14-Item8-E_0,28_cluster_NcoxDSM45129|12d4f1|1606-1908|3706|28_cluster_NcoxDSM45129-1493-Item9-E_0
28_cluster_NcoxDSM45129|12d4f1|1606-1908|3706|28_cluster_NcoxDSM45129-1493-Item9-E_0:-1,DD,-1,-1@0.14;-1,TLFD,-1,'28'@0.44
01_cluster_A40926|3799f5|1611-1913|111|01_cluster_A40926-14-Item8-E_0:-1,DD,-1,-1@0.14;-1,TLFD,-1,'01'@0.44
10_cluster_ArectNRRLB16090|91b351|1622-1904|1361|10_cluster_ArectNRRLB16090-519-Item6-E_0:73,TTD,-1,73@1;-1,TLFD,-1,'10'@1
161:79,S,'42',77@1;'42',D,'42','42'@0.33:42_cluster_WAC00631|c8684d|1052-1370|5464|42_cluster_WAC00631-2042-Item19-E_0,42_cluster_WAC00631|c8684d|4143-4451|5480|42_cluster_WAC00631-2042-Item27-E_0
158:93,S,92,79@1;92,T,'42',92@0.04:26,157
157:92,T,'42',92@0.04;92,T,71,92@0.08:73,156
156:92,T,71,92@0.08;92,S,90,'62'@0.039:86,155
155:92,S,90,'62'@0.039;'62',T,'62',90@0.019:99,154
154:'62',T,'62',90@0.019;90,S,86,89@0.31:126,153
153:90,S,86,89@0.31;89,D,89,89@0.012:139,152
152:89,D,89,89@0.012;89,T,'62',89@0.097:62_cluster_SspCNQ329.cluster001|f73c1e|1043-1357|8306|62_cluster_SspCNQ329.cluster001-3216-Item25-E_0,151
151:89,T,'62',89@0.097;89,T,84,89@0.16:147,150
150:89,T,84,89@0.16;89,S,'33','58'@1:33_cluster_SspCNQ509|436ed9|1044-1355|4410|33_cluster_SspCNQ509-1694-Item27-E_0,58_cluster_WAC06738cluster004|d9a549|1044-1355|7871|58_cluster_WAC06738cluster004-3023-Item24-E_0
147:89,T,84,89@0.16;84,S,'65',82@0.74:65_cluster_SspCNT371.cluster001|f326c5|1044-1360|8798|65_cluster_SspCNT371.cluster001-3384-Item27-E_0,146
146:84,S,'65',82@0.74;82,T,'63',82@0.37:63_cluster_SspCNQ525.cluster001|4ed3e5|1044-1360|8497|63_cluster_SspCNQ525.cluster001-3272-Item27-E_0,145
145:82,T,'63',82@0.37;82,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|180773|1043-1359|8606|64_cluster_SspCNQ865.cluster001-3328-Item27-E_0,66_cluster_SspCNY243.cluster001|731b10|1043-1364|8957|66_cluster_SspCNY243.cluster001-3438-Item27-E_0
139:89,D,89,89@0.012;89,T,84,89@0.11:133,138
138:89,T,84,89@0.11;89,T,'62',89@0.28:62_cluster_SspCNQ329.cluster001|200519|1052-1358|8378|62_cluster_SspCNQ329.cluster001-3214-Item16-E_0,137
